object,original_id,date_created,resource_type,specific_resource_type,specific_type,stream_type,object_content,from_id,from_username,name,content,final_sentiment,from_display_picture,media_link,link,bio,reply_to_original_id,reply_to_user_id,retweet_from_original_id,retweet_from_user_id,mentioned,audience,virality,applause,talk,timezone,location,gender,interest,score,negara,kota,provinsi,lang,userlang,,,,,,,,,,
'beat,'1074635556687093760,17/12/2018 19:00,'social_media,'twitter,'status,'keyword,'beat,'2905867182,'AstraHondaCare,'Astra Honda Care,'Honda New BeAT eSP memiliki 8 Varian warna nih HondaLovers terdiri dari Dance White,-1,0,'http://pbs.twimg.com/profile_images/688320220528685056/-kVgFwAJ_normal.jpg,[],'https://twitter.com/statuses/1074635556687093760,'Official Account of Honda Customer Care Center | PT Astra Honda Motor | Like us on FB Page Astra Honda Care | Mon - Sun 8AM - 12AM,'CJjOhqmbPrk,,,,[],42499,0,0,0,,'ÜT: -6.58165,106.81591,'Indonesia,[],"[""automotive"",""travel"",""economy""]",0,,,'in,'en,,,,,,,,
'honda,'1074598092173967360,17/12/2018 16:32,'social_media,'twitter,'status,'keyword,'honda,'973393550745333760,'BeritaTerkiniDM,'Berita Terkini,'Honda PCX Listrik Sapa Indonesia Awal Tahun Depan: https://t.co/SyE9uSkIIU,-1,0,'http://pbs.twimg.com/profile_images/974788303328178176/x3_LPJ4s_normal.jpg,[],'https://twitter.com/statuses/1074598092173967360,'Indeks berita terbaru hari ini dari peristiwa, kecelakaan, kriminal, hukum, berita unik, Politik, dan liputan khusus di Indonesia dan Internasional.,'GApglHuf0ro,,,,[],46,0,0,0,,,'Jakarta Pusat, DKI Jakarta,[],"[""automotive"",""journalism"",""law"",""politic"",""culinary"",""education"",""health""]",0,'Indonesia,'Jakarta Pusat,'DKI Jakarta,'in,,
'Dani Pedrosa,'1074642155786756096,17/12/2018 19:27,'social_media,'twitter,'status,'keyword,'Dani Pedrosa,'1024104610896605185,'IZZUDDI19892984,'IZZUDDIN,'https://t.co/8O25yLCkiN Jorge Lorenzo mengaku sudah 'bermusuhan' sejak lama dengan Dani Pedrosa. Setelah rekannya pensiun,-1,0,'http://pbs.twimg.com/profile_images/1060001383858884608/RgDQRSO-_normal.jpg,[],'https://twitter.com/statuses/1074642155786756096,'cinta cewek,'DRbC3Ham6Fs,,,,[],0,0,0,0,,,,'male,[],0,,,,'in,,,,,,,,,
'Kawasaki Ninja,'1074544926115942400,17/12/2018 13:00,'social_media,'twitter,'status,'keyword,'Kawasaki Ninja,'29624783,'motoupdate,'tmcblog | taufik,'https://t.co/90Ft92Iac4 - Bro Sekalian,-1, Honda CBR500R, KTM RC390R, Kawasaki Ninja 400 dan Yamaha R3 . . yap Honda... https://t.co/om8TrOHruu,0,'http://pbs.twimg.com/profile_images/962128479012532224/socwMgSZ_normal.jpg,[],'https://twitter.com/statuses/1074544926115942400,'Taufik - MotoCitizenJournalist, Own and run https://t.co/5WUrZgQBd6 | MotoGP - Journalist, Test Rider, Dad, Husband,  Blogger, MotoGP QP Comentator at @TRANS7GP,'GApglHuf0ro,,,,[],11512,0,2,0,,,'Indonesia,'male,"[""technology"",""automotive""]",2,,,,'in
'Honda,'1074348882996416519,17/12/2018 0:01,'social_media,'twitter,'status,'keyword,'Honda,'395919278,'warungasep,'Warungasep.net ◤◥™,'https://t.co/BpPeAAbSMm - Artikel ini adalah lanjutan daripada artikel sebelumnya tentang penampakan Honda CBR 400c 2 silinder versi terbaru yang diperkenalkan di Jepang beberapa... https://t.co/vUgvwm9b0U,0,'http://pbs.twimg.com/profile_images/1062484792472530947/Kwbj9p6b_normal.jpg,[],'https://twitter.com/statuses/1074348882996416519,'Blog Otomotif Roda Dua, Informasi Terupdate Seputar Sepeda Motor dan Berita Balapan...  Kunjungi Website https://t.co/MYvZ27mncm,'GApglHuf0ro,,,,[],914,0,0,0,,,'Tasikmalaya,[],"[""automotive"",""environment"",""journalism"",""travel"",""politic"",""health""]",0,'Indonesia,'Tasikmalaya,'Jawa Barat,'in,,,,,,,,,
'Kawasaki Ninja,'1074706200921604097,17/12/2018 23:41,'social_media,'twitter,'status,'keyword,'Kawasaki Ninja,'3043903634,'jabarnewss,'Jabar News,'https://t.co/DqMI7u7Zwu #Kawasaki #Ninja 250 SL Akhir Tahun Turun Harga https://t.co/JrkK0mdhGP #otomotif #250sl #headline,0,'http://pbs.twimg.com/profile_images/1004578278995185664/XPvJFLpk_normal.jpg,[],'https://twitter.com/statuses/1074706200921604097,'Digital Journalis,'GApglHuf0ro,,,,[],1175,0,0,0,,,'Bandung,[],[],0,'Indonesia,'Bandung,'Jawa Barat,'in,,,,,,,,,,
'Moto GP,'1074620752782012419,17/12/2018 18:02,'social_media,'twitter,'status,'keyword,'Moto GP,'151700683,'Tribun_Manado,'Tribun Manado,'https://t.co/G0fPu20UTb menyajikan  informasi siaran langsung,-1, video highlight hasil  pertandingan sepakbola, MotoGp, Formula 1 dan berita seputar dunia  olahraga https://t.co/PcMvyvwUkS,0,'http://pbs.twimg.com/profile_images/920584584324030465/ezILklkU_normal.jpg,"[""http://pbs.twimg.com/media/DunR2VTVsAAM5RJ.jpg""]",'https://twitter.com/statuses/1074620752782012419,'Official Twitter of TRIBUN Manado | Berita Terkini Seputar Sulawesi Utara | Email: redaksi@tribunmanado.co.id , tribunmanado01@gmail.com,'GApglHuf0ro,,,,[],75134,0,0,0,,,'Jl AA Maramis Kairagi 2,[],"[""technology"",""journalism"",""law"",""book""]",0,,,,'in,,,,,
'aerox,'1074593436152590336,17/12/2018 16:13,'social_media,'twitter,'status,'keyword,'aerox,'117686358,'otosia,'Otosia,'https://t.co/oCGwciORqQ - Berapa harga Yamaha Aerox di bulan Desember? Simak &gt&gt&gt #Otomotif #Otosia #MobilDijual,0,'http://pbs.twimg.com/profile_images/1062263580630835201/bDJj36xs_normal.jpg,[],'https://twitter.com/statuses/1074593436152590336,'| Official Twitter of https://t.co/3smtzgZrHX | Menghadirkan Berita Terbaru Modifikasi, Festival Otomotif, Berita Nasional dan livetwit MotoGP 2018 #LiveOtosia!,'cmym5C2I9M8,,,,[],21095,0,0,0,,,'Jakarta, Indonesia,[],"[""technology"",""automotive"",""journalism"",""culinary"",""health""]",0,,,,'in,,,,,,,
'kawasaki,'1074535049838637057,17/12/2018 12:21,'social_media,'twitter,'status,'keyword,'kawasaki,'117686358,'otosia,'Otosia,'https://t.co/okxC94VIA1 - Kawasaki juga punya skutik bongsor,-1,0,'http://pbs.twimg.com/profile_images/1062263580630835201/bDJj36xs_normal.jpg,[],'https://twitter.com/statuses/1074535049838637057,'| Official Twitter of http://Otosia.com | Menghadirkan Berita Terbaru Modifikasi, Festival Otomotif, Berita Nasional dan livetwit MotoGP 2018 #LiveOtosia!,'GApglHuf0ro,,,,[],21095,0,0,0,,,'Jakarta, Indonesia,[],"[""technology"",""automotive"",""journalism"",""culinary"",""health""]",0,,,,'in,,,,,,
Welovehonda,'1074571051340681216,17/12/2018 14:44,'social_media,'twitter,'status,'account,'52778170,'574230195,'anangbastomi1,'bloggersemarang.com,'https://t.co/TnkKbqFguW @welovehonda @astramotor @HondaJateng,0,'http://pbs.twimg.com/profile_images/671365329910554624/HYwCUXeG_normal.jpg,[],'https://twitter.com/statuses/1074571051340681216,'Indahnya berbagi ....,'GApglHuf0ro,,,,"[{""id"":""\\""52778170\\"""",""name"":""\\""welovehonda\\""""},{""id"":""\\""303675102\\"""",""name"":""\\""astramotor\\""""},{""id"":""\\""1094038968\\"""",""name"":""\\""HondaJateng\\""""}]",198,0,0,0,,'Semarang- Indonesia,,"[""fashion""]",0,'Indonesia,'Semarang,'Jawa Tengah,'und,'id,,,,,,,,,,
'beat,'1074530318978232320,17/12/2018 12:02,'social_media,'twitter,'status,'keyword,'beat,'899885333097005057,'s660com,'S660.COM,'https://t.co/TT77C1MGJc &amp SPRIDE democar✨ #S660 #S660com #Spride #Honda  #Beat #Nsx #MeandHonda  #Nbox #Nboxcustom… https://t.co/NmYhZhD6hs,0,'http://pbs.twimg.com/profile_images/943013687001980929/siisUxCY_normal.jpg,[],'https://twitter.com/statuses/1074530318978232320,'�?��?�ら�?�Honda http://S660.COM�?�公�?ツイッターページ�?��?�。http://S660.COM�?��?画・監修�?�る ドレスアップパーツ�?��?��?��?��?��?�魅力を�?ェック�?��?��?��?��?��?�。,'GApglHuf0ro,,,,[],82,0,0,0,,,,[],"[""automotive""]",0,,,,'es,,,,,,,,,,
'kawasaki,'1074616703760326658,17/12/2018 17:46,'social_media,'twitter,'status,'keyword,'kawasaki,'1132667816,'motorarogan,'Motor Arogan VLog,'https://t.co/wGB6HPXpFl … ninja 250 VS kawasaki 650CC #viral #anakmuda #balapliar #surabaya #malang # ##BIGOLIVE,0,'http://pbs.twimg.com/profile_images/931196151814021121/Z2WkxGys_normal.jpg,[],'https://twitter.com/statuses/1074616703760326658,'Ride fast Under Control,'CJjOhqmbPrk,,,,[],108,0,0,0,,,'Yogyakarta, Indonesia,[],[],0,'Indonesia,'Yogyakarta,'DI Yogyakarta,'in,,,,,,,,,
'kawasaki,'1074405310176014336,17/12/2018 3:46,'social_media,'twitter,'status,'keyword,'kawasaki,'1132667816,'motorarogan,'Motor Arogan VLog,'https://t.co/wGB6HPXpFl … ninja 250 VS kawasaki 650CC #viral #anakmuda #balapliar #surabaya #malang # ##BIGOLIVE,0,'http://pbs.twimg.com/profile_images/931196151814021121/Z2WkxGys_normal.jpg,[],'https://twitter.com/statuses/1074405310176014336,'Ride fast Under Control,'CJjOhqmbPrk,,,,[],108,0,0,0,,,'Yogyakarta, Indonesia,[],[],0,'Indonesia,'Yogyakarta,'DI Yogyakarta,'in,,,,,,,,,
'kawasaki,'1074523918508195840,17/12/2018 11:37,'social_media,'twitter,'status,'keyword,'kawasaki,'1069359818236866561,'RetroW175,'Kawasaki Retro Riders W175 Utara,'https://t.co/xHftTr8j74 KAWASAKI RETRO RIDERS… https://t.co/njkEwWp8vz,0,'http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,[],'https://twitter.com/statuses/1074523918508195840,,'yWmo0hHBy8w,,,,[],0,0,0,0,,,'male,[],[],0,,,'in,'tl,,,,,,,,,,
'kawasaki,'1074523836035538945,17/12/2018 11:37,'social_media,'twitter,'status,'keyword,'kawasaki,'1069359818236866561,'RetroW175,'Kawasaki Retro Riders W175 Utara,'https://t.co/xHftTr8j74 KAWASAKI RETRO RIDERS… https://t.co/XwO1TEZlWO,0,'http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,[],'https://twitter.com/statuses/1074523836035538945,,'qxVIuvYY5os,,,,[],0,0,0,0,,,'male,[],[],0,,,'en,'tl,,,,,,,,,,
'honda,'1074643567140839424,17/12/2018 19:32,'social_media,'twitter,'status,'keyword,'honda,'1248184338,'Garudasia,'Garudasia,'https://t.co/YHFRkbZ8oA - Casey Stoner mengeluarkan pendapatnya mengenai perpindahan Jorge Lorenzo dari Ducati ke Honda untuk musim MotoGP 2019,-1,0,'http://pbs.twimg.com/profile_images/3361450410/eed1ff45c850e5ed7b8f3b4e3bbee81b_normal.png,[],'https://twitter.com/statuses/1074643567140839424,'Informasi dari Dunia Tanpa Raja !,'HO401Rym8Bg,,,,[],266,0,0,0,,,'male,[],"[""health""]",0,,,,'in,,,,,,,,,
'honda,'1074690802629128193,17/12/2018 22:40,'social_media,'twitter,'status,'keyword,'honda,'1248184338,'Garudasia,'Garudasia,'https://t.co/YHFRkbZ8oA - Halo teman-teman semuanya,-1,0,'http://pbs.twimg.com/profile_images/3361450410/eed1ff45c850e5ed7b8f3b4e3bbee81b_normal.png,[],'https://twitter.com/statuses/1074690802629128193,'Informasi dari Dunia Tanpa Raja !,'GApglHuf0ro,,,,[],266,0,0,0,,'�?崎市�?��?��?�??アリーナ⇆等々力陸上競技場,'male,[],"[""health""]",0,,,'und,'in,,,,,,,,,
'jupiter,'1074677722331430912,17/12/2018 21:48,'social_media,'twitter,'status,'keyword,'jupiter,'1248184338,'Garudasia,'Garudasia,'https://t.co/YHFRkbZ8oA - Halo teman-teman semuanya,-1, ada berita bagus nih Yamaha Jupiter MX King facelift 2019... https://t.co/WyvpdBEFjY,0,'http://pbs.twimg.com/profile_images/3361450410/eed1ff45c850e5ed7b8f3b4e3bbee81b_normal.png,[],'https://twitter.com/statuses/1074677722331430912,'Informasi dari Dunia Tanpa Raja !,'GApglHuf0ro,,,,[],266,0,0,0,,,,[],"[""health""]",0,,,,'in,,,,,,,,
'Dani Pedrosa,'1074648672791482369,17/12/2018 19:53,'social_media,'twitter,'status,'keyword,'Dani Pedrosa,'78239324,'BolaSportcom,'BolaSport.com,'Hubungan Dani Pedrosa dan Jorge Lorenzo Pernah Memanas,-1,0,'http://pbs.twimg.com/profile_images/898505571216670720/b-XPefxd_normal.jpg,[],'https://twitter.com/statuses/1074648672791482369,'Akun resmi media olahraga digital dari Kompas Gramedia.  https://t.co/pargrvEsk6  merupakan induk dari https://t.co/PZGy5zh6XI  dan https://t.co/TatNChWse6,'gxiDYxYPHhg,,,,[],438099,2,0,0,,'Jl. A.Yani No.297 BANDUNG,'Indonesia,[],"[""technology"",""education"",""sports"",""book""]",2,'Bandung,'Jawa Barat,'in,'in,,,,,,,,,
Suzuki Motorcycles Indonesia,'2246333912311538_2248179548793641,17/12/2018 12:00,'social_media,'facebook,'comment,'account,'1797993397145594,'1797993397145594,'Suzuki Motorcycles Indonesia,'Suzuki Motorcycles Indonesia,'Humaydy Tunggal Untuk mengetahui lebih lanjut langsung ke dealer resmi terdekat Brader.,0,'https://graph.facebook.com/1797993397145594/picture,[],'https://facebook.com/2246333912311538_2248179548793641,'Tongkrongan bajigur bandrek nu pang jongjonsna :D  Open from 5.00 PM till drop.,'1797993397145594_2246333912311538,'1797993397145594,,,[],0,0,0,0,,'Jl. A.Yani No.297 BANDUNG,,'male,[],0,'Bandung,'Jawa Barat,'in,'id,,,,,,,,,,
'kawasaki,'1074709707254829056,17/12/2018 23:55,'social_media,'twitter,'status,'keyword,'kawasaki,'74178754,'js_accessories,'J&S Accessories Ltd,'I added a video to a @YouTube playlist https://t.co/4VBb61GDYQ Used Kawasaki Z1000 SX - J&ampS Accessories Ltd,0,'http://pbs.twimg.com/profile_images/567700706136571905/JvGdUaqa_normal.jpeg,[],'https://twitter.com/statuses/1074709707254829056,'The UK's biggest motorcycle clothing and accessories retailer. We have 30 stores across the country and you can buy online!,'qxVIuvYY5os,,,,"[{""id"":""\\""10228272\\"""",""name"":""\\""YouTube\\""""}]",10686,0,0,0,,'Jl. A.Yani No.297 BANDUNG,'J&S Accessories Ltd HQ,[],"[""technology"",""automotive"",""travel"",""economy"",""fashion""]",0,'Bandung,'Jawa Barat,'in,'en,,,,,,,,,,
'Motogp,'1074701614727000066,17/12/2018 23:23,'social_media,'twitter,'status,'keyword,'Motogp,'796948914,'tntcombatives,'TNTcombatives,'I added a video to a @YouTube playlist https://t.co/c219IIJ3EO Austrian MotoGP Special | Super Duke GT to GP | EP02,0,'http://pbs.twimg.com/profile_images/2567184114/image_normal.jpg,[],'https://twitter.com/statuses/1074701614727000066,'Those who have hunted armed men long enough and liked it never really care for anything else.          #Preparing Real People for Real Violence in a Real World,'GApglHuf0ro,,,,"[{""id"":""\\""10228272\\"""",""name"":""\\""YouTube\\""""}]",1198,0,0,0,,'Jl. A.Yani No.297 BANDUNG,'Fighting for Freedom,[],"[""technology"",""game"",""marketing""]",0,'Bandung,'Jawa Barat,'in,'en,,,,,,,,,,
'Motogp,'1074361554705907713,17/12/2018 0:52,'social_media,'twitter,'status,'keyword,'Motogp,'1074133099468840960,'GamingProten,'ProTen Gaming,'I added a video to a @YouTube playlist https://t.co/DCZJnYoril MotoGP Gameplay Career PC Austin Series2,0,'http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,[],'https://twitter.com/statuses/1074361554705907713,'Tongkrongan bajigur bandrek nu pang jongjonsna :D  Open from 5.00 PM till drop.,'GApglHuf0ro,,,,"[{""id"":""\\""10228272\\"""",""name"":""\\""YouTube\\""""}]",0,0,0,0,,'Jl. A.Yani No.297 BANDUNG,,[],[],0,'Bandung,'Jawa Barat,'in,'en,,,,,,,,,,
'kawasaki,'1074472859127361536,17/12/2018 8:14,'social_media,'twitter,'status,'keyword,'kawasaki,'884182724877197313,'TheWeekenderKit,'The Weekender,'I added a video to a @YouTube playlist https://t.co/GZKl29YMyK Kawasaki Woes | Motovlog,0,'http://pbs.twimg.com/profile_images/997004222033022976/LW-jLCcV_normal.jpg,[],'https://twitter.com/statuses/1074472859127361536,'Tongkrongan bajigur bandrek nu pang jongjonsna :D  Open from 5.00 PM till drop.,'AFbYjB5_YaY,,,,"[{""id"":""\\""10228272\\"""",""name"":""\\""YouTube\\""""}]",0,0,0,0,,'Jl. A.Yani No.297 BANDUNG,'male,[],[],0,'Bandung,'Jawa Barat,'in,'en,,,,,,,,,,
'r15,'1074604116461142016,17/12/2018 16:56,'social_media,'twitter,'status,'keyword,'r15,'532829141,'IMadeSudiartha,'I Made Sudiartha,'I added a video to a @YouTube playlist https://t.co/j5i0Lp2GMk R15 V2 modif R1M R15V3,0,'http://pbs.twimg.com/profile_images/1071292213282258944/7M2GQPoz_normal.jpg,[],'https://twitter.com/statuses/1074604116461142016,'State of polytechnic ujung pandang || electrical engineering 2011,'T9iH6wou178,,,,"[{""id"":""\\""10228272\\"""",""name"":""\\""YouTube\\""""}]",216,0,0,0,,'Jl. A.Yani No.297 BANDUNG,'Makassar, Indonesia,'male,"[""politic""]",0,'Indonesia,'Makassar,'Sulawesi Selatan,'en,,,,,,,,,
'honda,'1074456442449612800,17/12/2018 7:09,'social_media,'twitter,'status,'keyword,'honda,'734259585976930304,'Otomotif27,'Motorcycle-Sport,'I added a video to a @YouTube playlist https://t.co/ndhsAkqMZq NEW 2019 Honda CBR1000RR Fireblade - 2018 EICMA Milan,0,'http://pbs.twimg.com/profile_images/734260296026488832/UOWcsu1i_normal.jpg,[],'https://twitter.com/statuses/1074456442449612800,'Tongkrongan bajigur bandrek nu pang jongjonsna :D  Open from 5.00 PM till drop.,'qxVIuvYY5os,,,,"[{""id"":""\\""10228272\\"""",""name"":""\\""YouTube\\""""}]",25,0,0,0,,'Jl. A.Yani No.297 BANDUNG,,[],[],0,'Bandung,'Jawa Barat,'in,'en,,,,,,,,,,
'modifikasi,'1074513931258028032,17/12/2018 10:57,'social_media,'twitter,'status,'keyword,'modifikasi,'296148529,'kiiidut,'Rizky Maulana AR,'I added a video to a @YouTube playlist https://t.co/ntu61hLe9y PCX 2018 Series - Simple modifikasi untuk tambah akselerasi dan,0,'http://pbs.twimg.com/profile_images/801173493094096900/qKuKK-dc_normal.jpg,[],'https://twitter.com/statuses/1074513931258028032,'Eclipse Aerial Cinematography👮✈,'qxVIuvYY5os,,,,"[{""id"":""\\""10228272\\"""",""name"":""\\""YouTube\\""""}]",912,0,0,0,,'Jl. A.Yani No.297 BANDUNG,'Tangerang - Jakarta, Indonesia,'male,"[""entertainment"",""education""]",0,'Indonesia,'Tangerang,'Banten,'in,,,,,,,,,
'kawasaki,'1074373972886740993,17/12/2018 1:41,'social_media,'twitter,'status,'keyword,'kawasaki,'4742090729,'Freddie01r,'Freddie Rodriguez,'I added a video to a @YouTube playlist https://t.co/pawEz3MdOj Kawasaki Z900 or Yamaha FZ-09 MT-09?,0,'http://pbs.twimg.com/profile_images/973033154226176000/xrneDUS-_normal.jpg,[],'https://twitter.com/statuses/1074373972886740993,'Tongkrongan bajigur bandrek nu pang jongjonsna :D  Open from 5.00 PM till drop.,'GApglHuf0ro,,,,"[{""id"":""\\""10228272\\"""",""name"":""\\""YouTube\\""""}]",25,0,0,0,,'Jl. A.Yani No.297 BANDUNG,'Sunrise, Florida ,[],[],0,'Bandung,'Jawa Barat,'in,'pl,,,,,,,,,
