object,original_id,date_created,resource_type,specific_resource_type,specific_type,stream_type,object_content,from_id,from_username,name,content,final_sentiment,from_display_picture,media_link,link,bio,reply_to_original_id,reply_to_user_id,retweet_from_original_id,retweet_from_user_id,mentioned,audience,virality,applause,talk,timezone,location,gender,interest,score,negara,kota,provinsi,lang,userlang,,,,,,,,,,,,,,
'Cari Aman,'1077455430002061313,25/12/2018 13:46,'social_media,'twitter,'status,'keyword,'Cari Aman,'857463568198914049,'ahass_gsm,'Ahass Gading Serpong,'#marrychristmas🎄 �?🎉  untuk semua bikers yang merayakan.. . . #merrychristmas #christmasday  #AyoKeAHASS #ahass16448gadingserpong #ahassgadingserpong #cari_aman #PitExpress #wahana… https://t.co/btIfcHtCUS,2,'http://pbs.twimg.com/profile_images/857465460413026304/SxO8CjFs_normal.jpg,[],'https://twitter.com/statuses/1077455430002061313,'Bengkel Resmi Motor Honda, Tel : 021 22225734,,,,,[],5,0,0,0,,,'Komp.Ruko Paramount Blitz A/12,,[],0,,,,'in,,,,,,,,,,,,,
'yamahalexi,'1926295514515405432_8624220821,03/12/2018 22:52,'social_media,'instagram,'media,'keyword,'yamahalexi,'lautanteduh.bdj,'lautanteduh.bdj,'lautanteduh.bdj,'#promodesember  #promoakhirtahunyamaha  #yamahalexi  #tanpadp  #lautanteduhbandarjaya  #yamahalampung  #yamahasemakindidepan💪🚵💨�??,2,,"[""https://scontent.cdninstagram.com/vp/dad5b3de041f3226099630ad594696d1/5C9988A9/t51.2885-15/sh0.08/e35/s640x640/47071939_196456947903145_4813793741257605434_n.jpg""]",'https://www.instagram.com/p/Bq7k5CDHnp4/,,,,,,[],0,0,3,0,,,,[],0,,,,,,,,,,,,,,,,,,,
'YamahaMIOS,'1926295039829116282_8624220821,03/12/2018 22:51,'social_media,'instagram,'media,'keyword,'YamahaMIOS,'lautanteduh.bdj,'lautanteduh.bdj,'lautanteduh.bdj,'#promodesember  #promoakhirtahunyamaha #yamahamios  #tanpadp  #lautanteduhbandarjaya  #yamahalampung  #yamahasemakindidepan💪🚵💨�??,2,,"[""https://scontent.cdninstagram.com/vp/92e586b91f17bbe8e81be8ca54125e59/5CAAC69E/t51.2885-15/sh0.08/e35/s640x640/46067054_214163552818441_7827268089001659941_n.jpg""]",'https://www.instagram.com/p/Bq7kyH9nIV6/,,,,,,[],0,0,3,0,,,,[],0,,,,,,,,,,,,,,,,,,,
'Yamaha Indonesia,'1076749425081499648,23/12/2018 15:00,'social_media,'twitter,'status,'account,'57904133,'179022272,'EDOFERILOSA,'EDO YAMAHA,'#Repost @yamahaindonesia •  •  •  •  • Jaman sekarang itu udah canggih,-1, makin praktis… https://t.co/Y6sxtlIKsu,2,'http://pbs.twimg.com/profile_images/1072495125027274754/oFqYPuff_normal.jpg,[],'https://twitter.com/statuses/1076749425081499648,'Branch Manager Yamaha Tjahaja Baru Tanjung Pati, Kab. 50 Kota, Sumatera Barat. #YamahaIndonesia #SemakinDiDepan,,,,,"[{""id"":""\\""57904133\\"""",""name"":""\\""YamahaIndonesia\\""""}]",511,0,0,0,,,'Padang - Payakumbuh,'male,"[""technology"",""politic"",""fashion""]",0,'Indonesia,'Padang,'Sumatera Barat,'in,,,,,,,,,,
'Yamaha Indonesia,'1076749087276498944,23/12/2018 14:59,'social_media,'twitter,'status,'account,'57904133,'179022272,'EDOFERILOSA,'EDO YAMAHA,'#Repost @yamahaindonesia •  •  •  •  • Sekarang ngejalanin aktivitas gak perlu takut ribet lagi,-1,2,'http://pbs.twimg.com/profile_images/1072495125027274754/oFqYPuff_normal.jpg,[],'https://twitter.com/statuses/1076749087276498944,'Branch Manager Yamaha Tjahaja Baru Tanjung Pati, Kab. 50 Kota, Sumatera Barat. #YamahaIndonesia #SemakinDiDepan,,,,,"[{""id"":""\\""57904133\\"""",""name"":""\\""YamahaIndonesia\\""""}]",511,0,0,0,,,'Padang - Payakumbuh,'male,"[""technology"",""politic"",""fashion""]",0,'Indonesia,'Padang,'Sumatera Barat,'in,,,,,,,,,,,
'freego,'1076752426659704838,23/12/2018 15:12,'social_media,'twitter,'status,'keyword,'freego,'179022272,'EDOFERILOSA,'EDO YAMAHA,'#Repost freegomania •  •  •  •  • Hadapi dengan senyuman,-1,2,'http://pbs.twimg.com/profile_images/1072495125027274754/oFqYPuff_normal.jpg,[],'https://twitter.com/statuses/1076752426659704838,'Branch Manager Yamaha Tjahaja Baru Tanjung Pati, Kab. 50 Kota, Sumatera Barat. #YamahaIndonesia #SemakinDiDepan,,,,,[],511,0,0,0,,,'Padang - Payakumbuh,'male,"[""technology"",""politic"",""fashion""]",0,'Indonesia,'Padang,'Sumatera Barat,'in,,,,,,,,,,,
'freego,'1076752404350042112,23/12/2018 15:12,'social_media,'twitter,'status,'keyword,'freego,'179022272,'EDOFERILOSA,'EDO YAMAHA,'#Repost freegomania •  •  •  •  • Selamat hari Minggu . . . #Sunmori kemana kita pagi ini? . . #Repost foto cantik @yessynoel - :: Event Yamaha FreeGo :: | sony a7ii | sony lens 85mm f1.8… https://t.co/F27ApKc9oY,2,'http://pbs.twimg.com/profile_images/1072495125027274754/oFqYPuff_normal.jpg,[],'https://twitter.com/statuses/1076752404350042112,'Branch Manager Yamaha Tjahaja Baru Tanjung Pati, Kab. 50 Kota, Sumatera Barat. #YamahaIndonesia #SemakinDiDepan,,,,,"[{""id"":""\\""165736100\\"""",""name"":""\\""Yessynoel\\""""}]",511,0,0,0,,,'Padang - Payakumbuh,'male,"[""technology"",""politic"",""fashion""]",0,'Indonesia,'Padang,'Sumatera Barat,'in,,,,,,,,,,,,
'Yamaha Motor Indonesia,'10156007448922643_10156015422957643,24/12/2018 14:44,'social_media,'facebook,'comment,'account,'114547457642,,,,'#YAMAHA OK,2,'https://graph.facebook.com//picture,[],'https://facebook.com/10156007448922643_10156015422957643,,'114547457642_10156007448922643,'114547457642,,,[],0,0,0,0,,,,,[],0,,,,,,,,,,,,,,,,,,
'Yamaha Motor Indonesia,'10155994154832643_10155994208437643,13/12/2018 19:58,'social_media,'facebook,'comment,'account,'114547457642,,,,'#yamahaindonesia #amazingfreegoquis  Puzzle B,2,'https://graph.facebook.com//picture,[],'https://facebook.com/10155994154832643_10155994208437643,,'114547457642_10155994154832643,'114547457642,,,[],0,0,0,0,,,,[],0,,,,,,,,,,,,,,,,,,,
'Yamaha Motor Indonesia,'10155994154832643_10155994176297643,13/12/2018 19:32,'social_media,'facebook,'comment,'account,'114547457642,,,,'#yamahaindonesia #AmazingfreeQuis,2,'https://graph.facebook.com//picture,[],'https://facebook.com/10155994154832643_10155994176297643,,'114547457642_10155994154832643,'114547457642,,,[],0,0,0,0,,,,[],0,,,,,,,,,,,,,,,,,,,
KharismaRider,'UgxVEsl45Ikhej0nFR94AaABAg,10/12/2018 21:41,'social_media,'youtube,'comment,'account,'UCepUEYrbTAjuKzZNUZEEv5g,'UCfP8BZXZedkcRSAA_Ywv_Qw,'Bernardus anandia,'Bernardus anandia,'&quotanjay motornya keren banget cok&quot keren juga kalau meso :v wkwkwk,2,,[],'https://www.youtube.com/watch?v=UgxVEsl45Ikhej0nFR94AaABAg,,'K3zYONOFoWs,,,,[],0,0,0,0,,,,[],0,,,,,,,,,,,,,,,,,,,
Byhunmoto,'UgxgOMb_QSOfbn7Dt414AaABAg,11/12/2018 10:51,'social_media,'youtube,'comment,'account,'UCx2mMeRFsGmWtAbRKlKKs8g,'UCq_Znv1aeTKkzB2QZshL4jQ,'Radithya Baghaskara,'Radithya Baghaskara,'(Mantap,2,,[],'https://www.youtube.com/watch?v=UgxgOMb_QSOfbn7Dt414AaABAg,,'-iuLEdZA69I,,,,[],0,0,0,0,,,,[],0,,,,,,,,,,,,,,,,,,,
Bobby Stuntrider ,'Ugwfmd0YqVk_efWqH2p4AaABAg,29/12/2018 17:39,'social_media,'youtube,'comment,'account,'UCTaJfPc1Wsch5mLnntAoTlw,'UCCiXKKqkqq9P_wzhZEe6h7A,'#Wisnu Melulu,'#Wisnu Melulu,'*oket nya MANTAPP,2,,[],'https://www.youtube.com/watch?v=Ugwfmd0YqVk_efWqH2p4AaABAg,,'sPda6t5Vfb0,,,,[],0,0,0,0,,,,,[],0,,,,,,,,,,,,,,,,,,
'Penjualan Honda,'1073143029186195456,13/12/2018 16:10,'social_media,'twitter,'status,'keyword,'Penjualan Honda,'110284619,'KPFMBalikpapan,'95.4 KPFM Balikpapan,'. PENJUALAN BAIK,-1,2,'http://pbs.twimg.com/profile_images/842655712018751488/NyIJ3DRM_normal.jpg,[],'https://twitter.com/statuses/1073143029186195456,'Memainkan Lagu Terbaik!  -  Hotline: (0542) 8800955 - kpfmbalikpapan@kpfm.co.id,,,,,[],9288,0,0,0,,'Gd. Iklan Kaltim Post Lt. 3,,"[""technology"",""entertainment"",""travel"",""politic""]",0,,,,'in,'en,,,,,,,,,,,,,
'Yamaha,'1074881559247769600,18/12/2018 11:18,'social_media,'twitter,'status,'keyword,'Yamaha,'2562539167,'GoRidePetualang,'Papa Eko,'@4Y4NKZ Wow... Keren Yamaha Bison di modif kayak begini... �?,2,'http://pbs.twimg.com/profile_images/1074013343260729344/bPrhjXlt_normal.jpg,[],'https://twitter.com/statuses/1074881559247769600,'Melayani dan bukan untuk dilayani #HidupTanpaBatas #PapaEko #KKO300416 #TetapSemangat #TetapJujur #SFPetualang #NgebidNyantaiAlaGue #HapusTuyul | @nonAngie �?,'1074880969465769984,'43667155,,,"[{""id"":""43667155"",""name"":""4Y4NKZ""}]",894,0,0,0,,,'Tangsel �? Jaksel,,[],0,,,,'in,,,,,,,,,,,,,,
Telkomsel,'1069828352448450562,04/12/2018 12:38,'social_media,'twitter,'status,'account,'255409050,'67311440,'rasyid_ka,'Om Kribo,'@aiyalee @Spotify @Telkomsel beli paket jg lebih murah. kalo pake gopay kadang dpt cashback langsung 10-35rb untuk pembayaran2,2,'http://pbs.twimg.com/profile_images/1067632514355748865/ZwVY4Mx6_normal.jpg,[],'https://twitter.com/statuses/1069828352448450562,'Frontalitier #sobatburuhData,'1069446454404509696,'48954353,,,"[{""id"":""\\""48954353\\"""",""name"":""\\""aiyalee\\""""},{""id"":""\\""17230018\\"""",""name"":""\\""Spotify\\""""},{""id"":""\\""255409050\\"""",""name"":""\\""Telkomsel\\""""}]",436,0,0,0,,'North Moluccas, Indonesia,,"[""fashion"",""health""]",0,,,,'in,'en,,,,,,,,,,,,,
XL Axiata Tbk,'1068580574866993152,01/12/2018 2:00,'social_media,'twitter,'status,'account,'711842070080544770,'172000163,'lombaapasaja,'Lomba Apa Saja,'@aldhifajar @XLAxiata_Tbk betul bangeett,2,'http://pbs.twimg.com/profile_images/437057732839866368/UBklHToD_normal.jpeg,[],'https://twitter.com/statuses/1068580574866993152,'info lomba terlengkap dari seluruh dunia maya, nusantara, dan penjuru dunia tiap hari! Klik http://t.co/vqyWuF3ihg Paling update!!!,'1067654295439339520,'53961275,,,"[{""id"":""\\""53961275\\"""",""name"":""\\""aldhifajar\\""""},{""id"":""\\""711842070080544770\\"""",""name"":""\\""XLAxiata_Tbk\\""""}]",22508,0,0,0,,,'male,[],0,,,,'in,'en,,,,,,,,,,,,
XL Axiata Tbk,'1068580273099436032,01/12/2018 1:59,'social_media,'twitter,'status,'account,'711842070080544770,'172000163,'lombaapasaja,'Lomba Apa Saja,'@aldhifajar @XLAxiata_Tbk betul banget biar jadi efektif,2,'http://pbs.twimg.com/profile_images/437057732839866368/UBklHToD_normal.jpeg,[],'https://twitter.com/statuses/1068580273099436032,'info lomba terlengkap dari seluruh dunia maya, nusantara, dan penjuru dunia tiap hari! Klik http://t.co/vqyWuF3ihg Paling update!!!,'1067640726777880576,'53961275,,,"[{""id"":""\\""53961275\\"""",""name"":""\\""aldhifajar\\""""},{""id"":""\\""711842070080544770\\"""",""name"":""\\""XLAxiata_Tbk\\""""}]",22508,0,0,0,,,'male,[],0,,,,'in,'en,,,,,,,,,,,,
XL Axiata Tbk,'1068580479484362752,01/12/2018 2:00,'social_media,'twitter,'status,'account,'711842070080544770,'172000163,'lombaapasaja,'Lomba Apa Saja,'@aldhifajar @XLAxiata_Tbk enak jadi banyak pilihannya,2,'http://pbs.twimg.com/profile_images/437057732839866368/UBklHToD_normal.jpeg,[],'https://twitter.com/statuses/1068580479484362752,'info lomba terlengkap dari seluruh dunia maya, nusantara, dan penjuru dunia tiap hari! Klik http://t.co/vqyWuF3ihg Paling update!!!,'1067651287355781120,'53961275,,,"[{""id"":""\\""53961275\\"""",""name"":""\\""aldhifajar\\""""},{""id"":""\\""711842070080544770\\"""",""name"":""\\""XLAxiata_Tbk\\""""}]",22508,0,0,0,,,'male,[],0,,,,'in,'en,,,,,,,,,,,,
XL Axiata Tbk,'1068580659168333824,01/12/2018 2:00,'social_media,'twitter,'status,'account,'711842070080544770,'172000163,'lombaapasaja,'Lomba Apa Saja,'@aldhifajar @XLAxiata_Tbk lancaaar banget,2,'http://pbs.twimg.com/profile_images/437057732839866368/UBklHToD_normal.jpeg,[],'https://twitter.com/statuses/1068580659168333824,'info lomba terlengkap dari seluruh dunia maya, nusantara, dan penjuru dunia tiap hari! Klik http://t.co/vqyWuF3ihg Paling update!!!,'1067655289124483072,'53961275,,,"[{""id"":""\\""53961275\\"""",""name"":""\\""aldhifajar\\""""},{""id"":""\\""711842070080544770\\"""",""name"":""\\""XLAxiata_Tbk\\""""}]",22508,0,0,0,,,'male,[],0,,,,'in,'en,,,,,,,,,,,,
Indosat Ooredoo Care,'1068786274188709890,01/12/2018 15:37,'social_media,'twitter,'status,'account,'548904824,'305499876,'sylviadara,'Dara Sylvia,'@amri_luqman @IndosatCare Pakai Telkomsel dong,2,'http://pbs.twimg.com/profile_images/1066649349709414400/cVK760P7_normal.jpg,[],'https://twitter.com/statuses/1068786274188709890,'rd,'1068752635048603648,'1938363780,,,"[{""id"":""\\""1938363780\\"""",""name"":""\\""amri_luqman\\""""},{""id"":""\\""548904824\\"""",""name"":""\\""IndosatCare\\""""}]",918,0,0,0,,'Pacitan-Yogyakarta,'female,[],0,'Indonesia,'Pacitan,'Jawa Timur,'in,'id,,,,,,,,,,,,,,
Indosat Ooredoo Care,'1070099176736743424,05/12/2018 6:34,'social_media,'twitter,'status,'account,'548904824,'1033028706527109120,'ssuprsupreme,'Adora,'@Andreatputri @IndosatCare mantap:),2,'http://pbs.twimg.com/profile_images/1069884811127545858/9XFsFQie_normal.jpg,[],'https://twitter.com/statuses/1070099176736743424,'every man dies, but not every man lives. maybe ppl can stop reciting me as a chinese(even if i am), it’s a form of racism,'1070097540794568704,'1306639322,,,"[{""id"":""\\""1306639322\\"""",""name"":""\\""Andreatputri\\""""},{""id"":""\\""548904824\\"""",""name"":""\\""IndosatCare\\""""}]",61,0,0,0,,'Adorable Trap,,[],0,,,,'in,'en,,,,,,,,,,,,
'scoopy,'1069098206947155968,02/12/2018 12:17,'social_media,'twitter,'status,'keyword,'scoopy,'278576322,'smittyboy32,'chris smith,'@andyeezy7 Good looks scoopy,2,'http://pbs.twimg.com/profile_images/647422201323384832/iOfRyPZV_normal.jpg,[],'https://twitter.com/statuses/1069098206947155968,'DUKEBASKETBALLNEVERSTOPS #Bengals #RedSox sc:chrissmith32 COACH K GOAT,'1069097901249441793,'313114809,,,"[{""id"":""\\""313114809\\"""",""name"":""\\""andyeezy7\\""""}]",1182,0,1,0,,'kentucky,,"[""education"",""sports""]",1,,,,'en,'en,,,,,,,,,,,,,,
XL Axiata Tbk,'1069432873801764864,03/12/2018 10:27,'social_media,'twitter,'status,'account,'711842070080544770,'754555174190845952,'dompetcerdas,'farida,'@aninditass @XLAxiata_Tbk mantap,2,'http://pbs.twimg.com/profile_images/921599112775999488/t7Ep0rQI_normal.jpg,[],'https://twitter.com/statuses/1069432873801764864,'Lifestyle & Mom Blogger Member of Blogger Perempuan, KEB & Blogger Crony,'1068165705541931009,'1014840144392642562,,,"[{""id"":""\\""1014840144392642562\\"""",""name"":""\\""aninditass\\""""},{""id"":""\\""711842070080544770\\"""",""name"":""\\""XLAxiata_Tbk\\""""}]",1176,0,0,0,,'Semarang,'female,"[""automotive"",""design""]",0,'Indonesia,'Semarang,'Jawa Tengah,'in,'en,,,,,,,,,,,,,
XL Axiata Tbk,'1069442230044131333,03/12/2018 11:04,'social_media,'twitter,'status,'account,'711842070080544770,'754555174190845952,'dompetcerdas,'farida,'@aninditass @XLAxiata_Tbk mantap,2,'http://pbs.twimg.com/profile_images/921599112775999488/t7Ep0rQI_normal.jpg,[],'https://twitter.com/statuses/1069442230044131333,'Lifestyle & Mom Blogger Member of Blogger Perempuan, KEB & Blogger Crony,'1067764222614884355,'1014840144392642562,,,"[{""id"":""\\""1014840144392642562\\"""",""name"":""\\""aninditass\\""""},{""id"":""\\""711842070080544770\\"""",""name"":""\\""XLAxiata_Tbk\\""""}]",1176,0,0,0,,'Semarang,'female,"[""automotive"",""design""]",0,'Indonesia,'Semarang,'Jawa Tengah,'in,'en,,,,,,,,,,,,,
XL Axiata Tbk,'1069422441359798272,03/12/2018 9:45,'social_media,'twitter,'status,'account,'711842070080544770,'754555174190845952,'dompetcerdas,'farida,'@aninditass @XLAxiata_Tbk mantap!,2,'http://pbs.twimg.com/profile_images/921599112775999488/t7Ep0rQI_normal.jpg,[],'https://twitter.com/statuses/1069422441359798272,'Lifestyle & Mom Blogger Member of Blogger Perempuan, KEB & Blogger Crony,'1068866523861671938,'1014840144392642562,,,"[{""id"":""\\""1014840144392642562\\"""",""name"":""\\""aninditass\\""""},{""id"":""\\""711842070080544770\\"""",""name"":""\\""XLAxiata_Tbk\\""""}]",1176,0,0,0,,'Semarang,'female,"[""automotive"",""design""]",0,'Indonesia,'Semarang,'Jawa Tengah,'in,'en,,,,,,,,,,,,,
XL Axiata Tbk,'1068583198920036352,01/12/2018 2:11,'social_media,'twitter,'status,'account,'711842070080544770,'172000163,'lombaapasaja,'Lomba Apa Saja,'@ArmitaFibri @XLAxiata_Tbk bagus nih. masuk wishlist. aminnn,2,'http://pbs.twimg.com/profile_images/437057732839866368/UBklHToD_normal.jpeg,[],'https://twitter.com/statuses/1068583198920036352,'info lomba terlengkap dari seluruh dunia maya, nusantara, dan penjuru dunia tiap hari! Klik http://t.co/vqyWuF3ihg Paling update!!!,'1067746880161894400,'75524892,,,"[{""id"":""\\""75524892\\"""",""name"":""\\""ArmitaFibri\\""""},{""id"":""\\""711842070080544770\\"""",""name"":""\\""XLAxiata_Tbk\\""""}]",22508,0,0,0,,,'male,[],0,,,,'in,'en,,,,,,,,,,,,
XL Axiata Tbk,'1069430065430056960,03/12/2018 10:16,'social_media,'twitter,'status,'account,'711842070080544770,'754555174190845952,'dompetcerdas,'farida,'@ArmitaFibri @XLAxiata_Tbk keren bgt ombaknya,2,'http://pbs.twimg.com/profile_images/921599112775999488/t7Ep0rQI_normal.jpg,[],'https://twitter.com/statuses/1069430065430056960,'Lifestyle & Mom Blogger Member of Blogger Perempuan, KEB & Blogger Crony,'1068441719547424768,'75524892,,,"[{""id"":""\\""75524892\\"""",""name"":""\\""ArmitaFibri\\""""},{""id"":""\\""711842070080544770\\"""",""name"":""\\""XLAxiata_Tbk\\""""}]",1176,0,0,0,,'Semarang,'female,"[""automotive"",""design""]",0,'Indonesia,'Semarang,'Jawa Tengah,'in,'en,,,,,,,,,,,,,
XL Axiata Tbk,'1069443761783025665,03/12/2018 11:10,'social_media,'twitter,'status,'account,'711842070080544770,'754555174190845952,'dompetcerdas,'farida,'@ArmitaFibri @XLAxiata_Tbk keren tempatnya,2,'http://pbs.twimg.com/profile_images/921599112775999488/t7Ep0rQI_normal.jpg,[],'https://twitter.com/statuses/1069443761783025665,'Lifestyle & Mom Blogger Member of Blogger Perempuan, KEB & Blogger Crony,'1067746880161894400,'75524892,,,"[{""id"":""\\""75524892\\"""",""name"":""\\""ArmitaFibri\\""""},{""id"":""\\""711842070080544770\\"""",""name"":""\\""XLAxiata_Tbk\\""""}]",1176,0,0,0,,'Semarang,'female,"[""automotive"",""design""]",0,'Indonesia,'Semarang,'Jawa Tengah,'in,'en,,,,,,,,,,,,,
