object,original_id,date_created,resource_type,specific_resource_type,specific_type,stream_type,object_content,from_id,from_username,name,content,final_sentiment,from_display_picture,media_link,link,bio,reply_to_original_id,reply_to_user_id,retweet_from_original_id,retweet_from_user_id,mentioned,audience,virality,applause,talk,timezone,location,gender,interest,score,negara,kota,provinsi,lang,userlang,,,,,,,,,,,,,
IndonesiaGaruda,'1071453078329716737,09/12/2018 00.14,'social_media,'twitter,'status,'account,'155418706,'2453317890,'TokenB98,'kevin b.,'@dtimor @IndonesiaGaruda I like it,2,'http://pbs.twimg.com/profile_images/980438477304197120/nKioOJpW_normal.jpg,[],https://twitter.com/statuses/1071453078329716737,'God is good, proud Biomedicine Student & Koninklijke Luchtmacht/RNLAF (fut. Officier-Arts) KU Leuven - Biomedicine,'1071020456264658950,'60277167,,,"[{""id"":""60277167"",""name"":""dtimor""},{""id"":""155418706"",""name"":""IndonesiaGaruda""}]",99,0,0,0,,'Netherlands/Belgium,,[],0,,,,'en,'nl,,,,,,,,,,,,
ridwankamil,'1086835990918946816,20/01/2019 11:01,'social_media,'twitter,'status,'account,'80323736,'105991988,'gelangbesi,'gelangbesiphotoworks,'@Dwiyana_DKM @CH_chotimah @ridwankamil @aewin86 @MasTBP_ @RizmaWidiono @B1G_kaySae @wakadol2012 @Toni_Rom63 @JajangRidwan19 @Y_Radianto @enylove2 @niaratmadja @askos88 @OPratala @razzmon_ Mantulllll....,2,'http://pbs.twimg.com/profile_images/956225955382480896/D0ap8cMr_normal.jpg,[],'https://twitter.com/statuses/1086835990918946816,'gelangbesi |p|h||o|t|o|w|o|r|k|s|™ Owned by me. Just a photography lovers. Love Russian & German old lens, Nikon, Olympus PEN & Sony,'1086827317488279553,'223360867,,,"[{""id"":""\\""223360867\\"""",""name"":""\\""Dwiyana_DKM\\""""},{""id"":""\\""2928583759\\"""",""name"":""\\""CH_chotimah\\""""},{""id"":""\\""80323736\\"""",""name"":""\\""ridwankamil\\""""},{""id"":""\\""119691957\\"""",""name"":""\\""aewin86\\""""},{""id"":""\\""66746378\\"""",""name"":""\\""MasTBP_\\""""},{""id"":""\\""746241503714934784\\"""",""name"":""\\""RizmaWidiono\\""""},{""id"":""\\""2783528108\\"""",""name"":""\\""B1G_kaySae\\""""},{""id"":""\\""631705596\\"""",""name"":""\\""wakadol2012\\""""},{""id"":""\\""1341443192\\"""",""name"":""\\""Toni_Rom63\\""""},{""id"":""\\""894371084174147588\\"""",""name"":""\\""JajangRidwan19\\""""},{""id"":""\\""2542665199\\"""",""name"":""\\""Y_Radianto\\""""},{""id"":""\\""309095282\\"""",""name"":""\\""enylove2\\""""},{""id"":""\\""1145078053\\"""",""name"":""\\""niaratmadja\\""""},{""id"":""\\""2653364197\\"""",""name"":""\\""askos88\\""""},{""id"":""\\""1082829668254769152\\"""",""name"":""\\""OPratala\\""""},{""id"":""\\""62824520\\"""",""name"":""\\""razzmon_\\""""}]",203,0,0,0,,,,,"[""photography"",""fashion""]",0,,,,'in,'en,,,,,,,,,,
ridwankamil,'1086863384023191553,20/01/2019 12:49,'social_media,'twitter,'status,'account,'80323736,'1085538255313920000,'FiramidN,'Firamid News,'@Dwiyana_DKM @SiswantiYeni @ridwankamil @aewin86 @MasTBP_ @RizmaWidiono @B1G_kaySae @wakadol2012 @Toni_Rom63 @JajangRidwan19 @Y_Radianto @enylove2 @niaratmadja @askos88 @OPratala @razzmon_ Mantul,2,'http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,[],'https://twitter.com/statuses/1086863384023191553,,'1086827317488279553,'223360867,,,"[{""id"":""\\""223360867\\"""",""name"":""\\""Dwiyana_DKM\\""""},{""id"":""\\""2295755155\\"""",""name"":""\\""SiswantiYeni\\""""},{""id"":""\\""80323736\\"""",""name"":""\\""ridwankamil\\""""},{""id"":""\\""119691957\\"""",""name"":""\\""aewin86\\""""},{""id"":""\\""66746378\\"""",""name"":""\\""MasTBP_\\""""},{""id"":""\\""746241503714934784\\"""",""name"":""\\""RizmaWidiono\\""""},{""id"":""\\""2783528108\\"""",""name"":""\\""B1G_kaySae\\""""},{""id"":""\\""631705596\\"""",""name"":""\\""wakadol2012\\""""},{""id"":""\\""1341443192\\"""",""name"":""\\""Toni_Rom63\\""""},{""id"":""\\""894371084174147588\\"""",""name"":""\\""JajangRidwan19\\""""},{""id"":""\\""2542665199\\"""",""name"":""\\""Y_Radianto\\""""},{""id"":""\\""309095282\\"""",""name"":""\\""enylove2\\""""},{""id"":""\\""1145078053\\"""",""name"":""\\""niaratmadja\\""""},{""id"":""\\""2653364197\\"""",""name"":""\\""askos88\\""""},{""id"":""\\""1082829668254769152\\"""",""name"":""\\""OPratala\\""""},{""id"":""\\""62824520\\"""",""name"":""\\""razzmon_\\""""}]",5,0,2,0,,,,,[],2,,,,'in,'en,,,,,,,,,,,,
'dekoruma,'1087258519496081408,21/01/2019 15.00,'social_media,'twitter,'status,'keyword,dekoruma,'259252242,'farhandzikrii,'farhan dzikri,'@firza_pratama Gila gue dibilang pinter sama Product Manager Dekoruma. Wah  jadi bangga.,2,2,'http://pbs.twimg.com/profile_images/1074782440730681344/kVuQnTkp_normal.jpg,[],'https://twitter.com/statuses/1087258519496081408,'Computer Science Univeristy of Indonesia graduate | Product Manager | Tech. Business. Football. Movie | AFC | IG: @farhandzikrii,'1087166955314794497,'115673419,,,"[{""id"":""\\""115673419\\"""",""name"":""\\""firza_pratama\\""""}]",532,0,0,0,,,'Jakarta Capital Region, Indone,'male,"[""automotive"",""travel"",""economy"",""marketing""]",0,,,,'in,'en,,,,,,,,,,
ridwankamil,'1086809410645647360,20/01/2019 9:15,'social_media,'twitter,'status,'account,'80323736,'2211776544,'caturNU305,'Catur Is My Name 305,'@ganjarpranowo Lebih mantul lg di blakang pak ganjar Itu kang @ridwankamil,2,'http://pbs.twimg.com/profile_images/1038789300731531267/N3wV6NJK_normal.jpg,[],'https://twitter.com/statuses/1086809410645647360,'BEYOND  FUTURE �? Based KLT,'1086618744112046088,'109762193,,,"[{""id"":""\\""109762193\\"""",""name"":""\\""ganjarpranowo\\""""},{""id"":""\\""80323736\\"""",""name"":""\\""ridwankamil\\""""}]",159,0,0,0,,,'K.L.T,'male,[],0,,,,'in,'id,,,,,,,,,,,,
'IKEA,'1086668711992283137,19/01/2019 23.56,'social_media,'twitter,'status,'keyword,'IKEA,'2701034894,'xiteonie,'Chan!,'@goyuddeen Kamu tetep alfamart  tapi aku jadi IKEA.,2,2,'http://pbs.twimg.com/profile_images/1086659954138701824/IB2PbaN6_normal.jpg,[],'https://twitter.com/statuses/1086668711992283137,'RP  2000. Officially being considered as the princess of Pledis Ent who loves PRISTIN and High wholeheartedly.,'1086666846365863937,'1077589594193809408,,,"[{""id"":""\\""1077589594193809408\\"""",""name"":""\\""goyuddeen\\""""}]",1044,0,0,0,,,,,"[""art"",""game"",""marketing""]",0,,,,'in,'id,,,,,,,,,,,
'bandung,'1086958625539514368,20/01/2019 19:08,'social_media,'twitter,'status,'keyword,'bandung,'212539857,'adheool,'dhe.,'@hahpusing Iyakaan memang mantap bandung,2,'http://pbs.twimg.com/profile_images/1086111016016965632/WVJfhaLe_normal.jpg,[],'https://twitter.com/statuses/1086958625539514368,'ssut gaboleh ngomong kasar ah.,'1086945516351414272,'976105168356831233,,,"[{""id"":""\\""976105168356831233\\"""",""name"":""\\""hahpusing\\""""}]",442,0,0,0,,,,,[],0,,,,'in,'en,,,,,,,,,,,,
ridwankamil,'1086796168921673728,20/01/2019 8:22,'social_media,'twitter,'status,'account,'80323736,'1027613358239830016,'Konarsyusup1,'muhamad al-fatih 1453,'@ibnupurna Mantap   deuleu tah @ridwankamil,2,2,'http://pbs.twimg.com/profile_images/1028688383873179648/_wopOipK_normal.jpg,[],'https://twitter.com/statuses/1086796168921673728,'politik jenaka,'1086632564440199169,'207559187,,,"[{""id"":""\\""207559187\\"""",""name"":""\\""ibnupurna\\""""},{""id"":""\\""80323736\\"""",""name"":""\\""ridwankamil\\""""}]",44,0,0,0,,,,'male,"[""entertainment"",""automotive"",""politic"",""culinary""]",0,,,,'ht,'en,,,,,,,,,,,
'IKEA_Ind,'1087605065634856961,22/01/2019 13.57,'social_media,'twitter,'status,'account,'2348068129,'106296589,'putradewafajar,'Bukan Badut Biasa,'@IKEA_Ind terima kasih banyak suda membolehkan saya bergabung dikeluarga besar   meskipun hanya disurabaya. Kamsahammida.,2,2,'http://pbs.twimg.com/profile_images/1075443929925861376/dZtT59TW_normal.jpg,[],'https://twitter.com/statuses/1087605065634856961,'pecinta tenggang rasa,,'2348068129,,,"[{""id"":""\\""2348068129\\"""",""name"":""\\""IKEA_Ind\\""""}]",428,0,0,0,,,'surabaya,,"[""fashion""]",0,'Indonesia,'Surabaya,'Jawa Timur,'in,'id,,,,,,,,,,,
IndonesiaGaruda,'1071469600678662145,09/12/2018 01.20,'social_media,'twitter,'status,'account,'155418706,'75786738,'Ardimnsyr,'Ardi Mansyur,'@IndonesiaGaruda Baiklah mz. Thank you :),2,'http://pbs.twimg.com/profile_images/1056531950985334785/JjRwVAkO_normal.jpg,[],'https://twitter.com/statuses/1071469600678662145,'As radiant as the sun. From the 90s. Taurus.,'1071468773012463618,'155418706,,,"[{""id"":""155418706"",""name"":""IndonesiaGaruda""}]",1119,0,0,0,,'Jakarta Capital Region,,[],0,,,,'en,'en,,,,,,,,,,,,,
ridwankamil,'1086924780492607489,20/01/2019 16:53,'social_media,'twitter,'status,'account,'80323736,'1336800042,'endim_opandi,'Endim Opandi,'@JabarFtrLdr @Aliansy11796398 @ridwankamil Mantap,2,'http://pbs.twimg.com/profile_images/1020505731920015360/PxB-Tr1n_normal.jpg,[],'https://twitter.com/statuses/1086924780492607489,'aktifis,'1086862237803761665,'1082817814010851329,,,"[{""id"":""\\""1082817814010851329\\"""",""name"":""\\""JabarFtrLdr\\""""},{""id"":""\\""1083369929678630912\\"""",""name"":""\\""Aliansy11796398\\""""},{""id"":""\\""80323736\\"""",""name"":""\\""ridwankamil\\""""}]",20,0,0,0,,,'Surade, Indonesia,,[],0,,,,'in,'id,,,,,,,,,,,
'IKEA,'1085885815157182467,17/01/2019 20.05,'social_media,'twitter,'status,'keyword,'IKEA,'1022129044882579456,'jaehyunn__,'�?� Jaehyun, jfb! '@Jhonny95nct @YaoiSociety Mau mau mau ~ biar beli semua di IKEA! asikkk &gt^&lt,2,2,'http://pbs.twimg.com/profile_images/1085562828625330178/HVe7NAXs_normal.jpg,[],'https://twitter.com/statuses/1085885815157182467,'[ RolePlayer ]  1997`s valentine boy 재현! / Sub / Eng-bhs!,'1085883968191221761,'964461126405640192,,,"[{""id"":""\\""964461126405640192\\"""",""name"":""\\""Jhonny95nct\\""""},{""id"":""\\""824897414691557377\\"""",""name"":""\\""YaoiSociety\\""""}]",1136,0,0,0,,,'ns(a)fw,,"[""game""]",0,,,,'in,'id,,,,,,,,,,,
'Listrik,'1069639870757257220,04/12/2018 0:09,'social_media,'twitter,'status,'keyword,'Listrik,'1032881591893159936,'kamilafadia1,'kamilafadia,'@jokowi Melalui listrik PLN langsung  mereka dapat melakukan banyak penghematan untuk pengeluaran perbulannya.  #AndaiNikahanku10M #01IndonesiaMaju #01JokowiLagi #2019TetapJokowi #4TahunJokowi #BikinIndonesiaMaju #IndonesiaMaju #Jokowi2Periode #JokowiLagi #,2,2,'http://pbs.twimg.com/profile_images/1032882228697518080/BUe-3xfG_normal.jpg,[],'https://twitter.com/statuses/1069639870757257220,'“Kerja keras orang tua itu karena ingin anak – anaknya menjadi pribadi yang bukan hanya biasa tapi luar biasa�?,,'366987179,,,"[{""id"":""\\""366987179\\"""",""name"":""\\""jokowi\\""""}]",9,0,0,0,,'Sei Bingai, Indonesia,,"[""marketing""]",0,,,,'in,'en,,,,,,,,,,,
ridwankamil,'1086953941118504960,20/01/2019 18:49,'social_media,'twitter,'status,'account,'80323736,'1059427237190021121,'BeoulveLeon,'Leon Beoulve,'@KRumaysha @Ferdinand_Haean @ridwankamil Mantap garut  😘,2,'http://pbs.twimg.com/profile_images/1072124330371239936/BSVdfKv2_normal.jpg,[],'https://twitter.com/statuses/1086953941118504960,'Knowledge is power.,'1086869711596318722,'1034754406481154049,,,"[{""id"":""\\""1034754406481154049\\"""",""name"":""\\""KRumaysha\\""""},{""id"":""\\""1006771503956979712\\"""",""name"":""\\""Ferdinand_Haean\\""""},{""id"":""\\""80323736\\"""",""name"":""\\""ridwankamil\\""""}]",17,0,0,0,,,'Somewhere near the equator,,[],0,,,,'in,'en,,,,,,,,,,,,
'IKEA,'1087319054811947008,21/01/2019 19.00,'social_media,'twitter,'status,'keyword,'ikea,'442400126,'nurfyustitiya,'Tiya,'@novemberena Yuk ke ikea yuk  ikea hidupkan rumah.,2,2,'http://pbs.twimg.com/profile_images/1076422550169649155/ZGJkzPRk_normal.jpg,[],'https://twitter.com/statuses/1087319054811947008,'xoxo,'1087233851468832770,'1053981211494772736,,,"[{""id"":""\\""1053981211494772736\\"""",""name"":""\\""novemberena\\""""}]",371,0,0,0,,,,,[],0,,,,'in,'id,,,,,,,,,,,
ridwankamil,'1086679971421085696,20/01/2019 0:41,'social_media,'twitter,'status,'account,'80323736,'1125351828,'da2ng_andriyan,'Dadang Andriyansah™,'@RajaPurwa Pak @ridwankamil mantap aktingnya 😊😊,2,'http://pbs.twimg.com/profile_images/1036543131901091840/HTTm4dBi_normal.jpg,[],'https://twitter.com/statuses/1086679971421085696,'Pejuang Kebenaran, menyuarakan keadilan,'1086650670495674368,'2338638961,,,"[{""id"":""\\""2338638961\\"""",""name"":""\\""RajaPurwa\\""""},{""id"":""\\""80323736\\"""",""name"":""\\""ridwankamil\\""""}]",170,0,0,0,,,'Bekasi, Jawa barat - indonesia,,"[""law"",""game""]",0,'Indonesia,'Bekasi,'Jawa Barat,'in,'id,,,,,,,,,,
'IKEA,'1085350899432583168,16/01/2019 08.39,'social_media,'twitter,'status,'keyword,'IKEA,'997013624,'AppridoPurba,'Apprido Purba,'@ridu @goenrock Makan di @IKEA begini nih.....ambil sendiri  dan habis makan di bersihin sendiri.  Enak &amp bersihhhh,2,2,'http://pbs.twimg.com/profile_images/1037116388496699392/vqPL22j1_normal.jpg,[],'https://twitter.com/statuses/1085350899432583168,'Be  YourSelf - Gravitasi tidak bertanggung-jawab atas orang yang Jatuh CINTA. :D,'1085094926231134208,'6712372,,,"[{""id"":""\\""6712372\\"""",""name"":""\\""ridu\\""""},{""id"":""\\""19395352\\"""",""name"":""\\""goenrock\\""""},{""id"":""\\""606342802\\"""",""name"":""\\""IKEA\\""""}]",123,0,0,0,,,'Medan Baru, Indonesia,'male,"[""science"",""fashion"",""health""]",0,'Indonesia,'Medan,'Sumatera Utara,'in,'id,,,,,,,,,,
ridwankamil,'1086835053080936449,20/01/2019 10:57,'social_media,'twitter,'status,'account,'80323736,'934281468406202368,'SihombingAlan,'Dj. Alan Sihombing,'@ridwankamil @hanifdhakiri Mantap,2,'http://pbs.twimg.com/profile_images/934383029962792960/l13s1Ip0_normal.jpg,[],'https://twitter.com/statuses/1086835053080936449,'Berguna untuk  Orang Lain, Berguna untuk Diri Sendiri & Kemuliaan Bagi TUHAN,'1086424595555479553,'80323736,,,"[{""id"":""\\""80323736\\"""",""name"":""\\""ridwankamil\\""""},{""id"":""\\""187068942\\"""",""name"":""\\""hanifdhakiri\\""""}]",42,0,0,0,,,,'male,"[""technology"",""religious"",""fashion""]",0,,,,'in,'id,,,,,,,,,,,
ridwankamil,'1086848858276061186,20/01/2019 11:52,'social_media,'twitter,'status,'account,'80323736,'435792939,'_Andriyanto,'Aan Andriyanto,'@ridwankamil @JabarFtrLdr Mantaapp...,2,'http://pbs.twimg.com/profile_images/1051025671453958144/wvD0Yi6x_normal.jpg,[],'https://twitter.com/statuses/1086848858276061186,'Bermanfaat selama hidup,'1086518957979267073,'80323736,,,"[{""id"":""\\""80323736\\"""",""name"":""\\""ridwankamil\\""""},{""id"":""\\""1082817814010851329\\"""",""name"":""\\""JabarFtrLdr\\""""}]",11,0,1,0,,,'Bandung-Indonesia,,[],1,'Indonesia,'Bandung,'Jawa Barat,'nl,'en,,,,,,,,,,,,
ridwankamil,'1086830729072304131,20/01/2019 10:40,'social_media,'twitter,'status,'account,'80323736,'1057479897503870976,'BroBhas,'Bro Bhas,'@ridwankamil @JabarFtrLdr Mantap kang. Not boss  but be leader.,2,2,'http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,[],'https://twitter.com/statuses/1086830729072304131,,'1086518957979267073,'80323736,,,"[{""id"":""\\""80323736\\"""",""name"":""\\""ridwankamil\\""""},{""id"":""\\""1082817814010851329\\"""",""name"":""\\""JabarFtrLdr\\""""}]",0,0,1,0,,,,,[],1,,,,'en,'en,,,,,,,,,,,
ridwankamil,'1086819044936736769,20/01/2019 9:53,'social_media,'twitter,'status,'account,'80323736,'1060656088029126657,'winanuraenii,'Winanuraenii,'@ridwankamil Ayokk semangat pa,2,'http://pbs.twimg.com/profile_images/1060661841821483008/bQhhCSEK_normal.jpg,[],'https://twitter.com/statuses/1086819044936736769,,'1086424595555479553,'80323736,,,"[{""id"":""\\""80323736\\"""",""name"":""\\""ridwankamil\\""""}]",3,0,0,0,,,'Tasikmalaya, Jawa Barat,,[],0,'Indonesia,'Tasikmalaya,'Jawa Barat,'in,'en,,,,,,,,,,,
ridwankamil,'1086936074406965249,20/01/2019 17:38,'social_media,'twitter,'status,'account,'80323736,'2353311128,'danisdbdg,'Dani Haryono,'@ridwankamil Bagus pa,2,'http://pbs.twimg.com/profile_images/1084800109349502976/tNseHNyy_normal.jpg,[],'https://twitter.com/statuses/1086936074406965249,,'1086424595555479553,'80323736,,,"[{""id"":""\\""80323736\\"""",""name"":""\\""ridwankamil\\""""}]",1,0,0,0,,,'Bandung,'male,[],0,'Indonesia,'Bandung,'Jawa Barat,'in,'id,,,,,,,,,,,,
