object,original_id,date_created,resource_type,specific_resource_type,specific_type,stream_type,object_content,from_id,from_username,name,content,final_sentiment,from_display_picture,media_link,link,bio,reply_to_original_id,reply_to_user_id,retweet_from_original_id,retweet_from_user_id,mentioned,audience,virality,applause,talk,timezone,location,gender,interest,score,negara,kota,provinsi,lang,userlang,,,,,,,,,,,,,,,,,,
Indosat Ooredoo Care,'1068561751459868672,01/12/2018 0:45,'social_media,'twitter,'status,'account,'548904824,'224561856,'gunawanal,'Gunawan Alim Lianto,'@IndosatCare Apaan... Di DM juga tidak ada jawaban itu...,1,'http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,[],'https://twitter.com/statuses/1068561751459868672,,'1057796774495105024,'548904824,,,"[{""id"":""\\""548904824\\"""",""name"":""\\""IndosatCare\\""""}]",8,0,0,0,,'Kota Surabaya, Jawa Timur,'male,[],0,'Indonesia,'Surabaya,'Jawa Timur,'in,'en,,,,,,,,,,,,,,,,,
Telkomsel,'1068563684740362240,01/12/2018 0:53,'social_media,'twitter,'status,'account,'255409050,'134702531,'baTHia_haNif,'hnifkiarahaq,'@BinetZulzula @Telkomsel Iya net tiba2 sinyal sos coba 😤,1,'http://pbs.twimg.com/profile_images/1056469437136564224/sovfTN8f_normal.jpg,[],'https://twitter.com/statuses/1068563684740362240,'💋Yang terpenting itu kepuasan dan kebahagiaan bukan pujian  #duaarti #ceritaku #tulisanku #oppoA37f,'1068559682543861761,'124966467,,,"[{""id"":""\\""124966467\\"""",""name"":""\\""BinetZulzula\\""""},{""id"":""\\""255409050\\"""",""name"":""\\""Telkomsel\\""""}]",106,0,0,0,,'indonesia,,"[""religious"",""art"",""education"",""book""]",0,,,,'in,'id,,,,,,,,,,,,,,,,,,
Indosat Ooredoo Care,'1068565219570442241,01/12/2018 0:59,'social_media,'twitter,'status,'account,'548904824,'117392344,'tommysocialite,'Abusundan,'@IndosatCare sampai hari inipun pulsa saya tidak dibalikin oleh indosat dengan alasan nomor saya kena biaya interne… https://t.co/MnRyrW48WJ,1,'http://pbs.twimg.com/profile_images/477276058618576897/My_Lop0t_normal.jpeg,[],'https://twitter.com/statuses/1068565219570442241,'I'm the socialite.... Always tried to give the best to religion, family, friends, nation, state & all in my world.,,'548904824,,,"[{""id"":""\\""548904824\\"""",""name"":""\\""IndosatCare\\""""}]",55,0,0,0,,'Ciawi - Bogor,,"[""fashion"",""education""]",0,'Indonesia,'Bogor,'Jawa Barat,'in,'id,,,,,,,,,,,,,,
Indosat Ooredoo Care,'1068567445575675904,01/12/2018 1:08,'social_media,'twitter,'status,'account,'548904824,'762492078320259072,'KanjenkJenar21,'Kanjenk_Jenar21,'@IndosatCare Balas twitt saya dan DM saya sudh 4bln nih,1,1,'http://pbs.twimg.com/profile_images/885126737054416896/we6zkUc3_normal.jpg,[],'https://twitter.com/statuses/1068567445575675904,'Kau tak sendiri,'1068553364932304896,'548904824,,,"[{""id"":""\\""548904824\\"""",""name"":""\\""IndosatCare\\""""}]",15,0,1,0,,'Bumiayu, Indonesia,,[],1,,,,'in,'id,,,,,,,,,,,,,,,,
Indosat Ooredoo Care,'1068567727747387392,01/12/2018 1:09,'social_media,'twitter,'status,'account,'548904824,'59787501,'prasetyaryan,'Ryan Prasetya,"'@IndosatCare jam satu pagi lho ini. Kecepatan ga sampe 50KB/s. Seharian padahal ga internetan pake indosat, masa iya ""pemakaian melebihi batas wajar"" Nomor hp beserta alamat saya kirim lewat dm. Harap dibalas https://t.co/2Z6VPs7GMA",1,'http://pbs.twimg.com/profile_images/950787208214032385/PB0OsfAN_normal.jpg,"[""http://pbs.twimg.com/media/DtRQqu7UUAACrxf.jpg""]",'https://twitter.com/statuses/1068567727747387392,'Dpk // •SDN MJ 21 •SMPN 4 Dpk •SMAN 3 Dpk •UNJ-PMtk // Half-time teacher. Half-time astral-consultant. Full-time comedian,,'548904824,,,"[{""id"":""\\""548904824\\"""",""name"":""\\""IndosatCare\\""""}]",473,0,0,0,,'Depok, Jawa Barat, Indonesia,'male,"[""entertainment"",""automotive"",""education"",""health"",""game""]",0,'Indonesia,'Depok,'Jawa Barat,'in,'en,,,,,,,,,,,,,,,,
IM3 Ooredoo,'1068568087895597059,01/12/2018 1:10,'social_media,'twitter,'status,'account,'61379637,'942068073980243968,'AshabuSuffah,'Ashabu Suffah,'@IM3Ooredoo internet saya mati . Sudah 1 bulan... bagaimana ini penyelesaian nya?,1,'http://pbs.twimg.com/profile_images/948565824142417920/FcU6dbIS_normal.jpg,[],'https://twitter.com/statuses/1068568087895597059,'Ayo Gabung dengan MAJLIS ASHABUSUFFAH. UNTUK PEMUDA MUSLIM.Pendidikan Sosial Hiburan Keluarga Gerakan Sosial Ramadhan Idul Fitri,,'61379637,,,"[{""id"":""\\""61379637\\"""",""name"":""\\""IM3Ooredoo\\""""}]",70,0,0,0,,'DKI Jakarta, Indonesia,,"[""technology"",""entertainment"",""travel"",""religious"",""social"",""education""]",0,,,,'in,'id,,,,,,,,,,,,,,,,,
Indosat Ooredoo Care,'1068568147375075329,01/12/2018 1:11,'social_media,'twitter,'status,'account,'548904824,'1457367306,'Hiisoka44,'Ariel Santiago,'min sinyal 3G saya hilang lagi kemarin sempet pulih tp skrang hilang lagi  tolong diperbaiki lagi min ,1, tolong baca DM saya @IndosatCare,1,'http://pbs.twimg.com/profile_images/773400296911409152/6KHw1ItI_normal.jpg,[],'https://twitter.com/statuses/1068568147375075329,,,,,,"[{""id"":""\\""548904824\\"""",""name"":""\\""IndosatCare\\""""}]",57,0,0,0,,'World,'male,[],0,,,,'in,'id,,,,,,,,,,,,,,,,
Indosat Ooredoo Care,'1068568747621867522,01/12/2018 1:13,'social_media,'twitter,'status,'account,'548904824,'796127066521378816,'Rach_sasaerila,'Rachelle sasaerila,'@IndosatCare  tolong saya cust setia indosat tolong djperbaiki jaringan nYa,1,'http://pbs.twimg.com/profile_images/796401199285092352/VQ10Z7Ql_normal.jpg,[],'https://twitter.com/statuses/1068568747621867522,'Searching a new iphone ?  Check now in IG : @Rach_Store,,'548904824,,,"[{""id"":""\\""548904824\\"""",""name"":""\\""IndosatCare\\""""}]",10,0,0,0,,'Jakarta Selatan, DKI Jakarta,,"[""technology"",""game""]",0,'Indonesia,'Jakarta Selatan,'DKI Jakarta,'in,'id,,,,,,,,,,,,,,,,,
myXL Care,'1068569564689031168,01/12/2018 1:16,'social_media,'twitter,'status,'account,'480224156,'878142928400429056,'Dporomotoracing,'Dooromotoracing1,'@myXLCare Sudah jelas sinyal jelek sering hilang masih tanya kendala,1, pura2 bego dasar brengsek.buktikan xl sinyal… https://t.co/6etpgyw7xt,1,'http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,[],'https://twitter.com/statuses/1068569564689031168,,'1068568835450490880,'480224156,,,"[{""id"":""\\""480224156\\"""",""name"":""\\""myXLCare\\""""}]",2,0,0,0,,,,[],0,,,,'in,'id,,,,,,,,,,,,,,,,
Indosat Ooredoo Care,'1068572114209275904,01/12/2018 1:26,'social_media,'twitter,'status,'account,'548904824,'447851416,'mrsevrin12,'evrin INS,'@IndosatCare kena pungli CS nya isat  betulin kartu hangus biaya nya “WOW�? sekali dan enggak dpt nota resmi,1, saat diminta enggak dikasi dengan alasan yg amat panjang jd dr pd lama aku iyain aja. Tolong diperhatikan lagi yg kyk begini.,1,'http://pbs.twimg.com/profile_images/925662121320357888/rBXTwoHo_normal.jpg,[],'https://twitter.com/statuses/1068572114209275904,'hay stalkers �?,,'548904824,,,"[{""id"":""\\""548904824\\"""",""name"":""\\""IndosatCare\\""""}]",59,0,0,0,,'semarang,,[],0,'Indonesia,'Semarang,'Jawa Tengah,'in,'id,,,,,,,,,,,,,,,,
myXL Care,'1068576252657713152,01/12/2018 1:43,'social_media,'twitter,'status,'account,'480224156,'255027365,'FitriRahma,'Fitri Rahmawati,'@myXLCare pasti selalu begini kalo main game online. Tolong diperbaiki min  makin lama makin lag aja. Pdhl dlu xl p… https://t.co/J55re44nqG,1,1,'http://pbs.twimg.com/profile_images/1046365137571995649/6qtNCrTP_normal.jpg,[],'https://twitter.com/statuses/1068576252657713152,'ig: fitrirmwt✌,,'480224156,,,"[{""id"":""\\""480224156\\"""",""name"":""\\""myXLCare\\""""}]",650,0,0,0,,,'female,[],0,,,,'in,'id,,,,,,,,,,,,,,,,,
Indosat Ooredoo Care,'1068578327156248576,01/12/2018 1:51,'social_media,'twitter,'status,'account,'548904824,'1068555153429585920,'Rafikaahmadyah1,'Rafika.ahmad@yahoo.com,'@IndosatCare Selamat malam  saya tidak bisa tidur  karna masih kepikiran pulsa saya yang tersedot tadi pada no 081573789683 pulsa awal sebesar RP6000 pulsa akhir rp 0 PKL 19:55 pda Tgl 30 November 2018. Mohon bantu di kembalikan ya @IndosatCare,1,1,'http://pbs.twimg.com/profile_images/1068561993798344710/zsdtRW0G_normal.jpg,[],'https://twitter.com/statuses/1068578327156248576,,'1057723080615833605,'548904824,,,"[{""id"":""\\""548904824\\"""",""name"":""\\""IndosatCare\\""""},{""id"":""\\""548904824\\"""",""name"":""\\""IndosatCare\\""""}]",0,0,0,0,,'Cengkareng, Indonesia,,[],0,,,,'in,'id,,,,,,,,,,,,,,,,
myXL Care,'1068578730547666944,01/12/2018 1:53,'social_media,'twitter,'status,'account,'480224156,'345855292,'monikayunio,'Monika,'@myXLCare ini kenapa pulsanya ilang sendiri ya ga dipake apa2?,1,'http://pbs.twimg.com/profile_images/1050757817819267073/C-wLcNiL_normal.jpg,[],'https://twitter.com/statuses/1068578730547666944,'hai,,'480224156,,,"[{""id"":""\\""480224156\\"""",""name"":""\\""myXLCare\\""""}]",331,0,0,0,,'Solo ,'female,"[""technology""]",0,,,,'in,'en,,,,,,,,,,,,,,,,,,
Indosat Ooredoo Care,'1068579094378336256,01/12/2018 1:54,'social_media,'twitter,'status,'account,'548904824,'1043763734819172354,'tuntuk171,'tuntuk17,'@IndosatCare Ini aaapa lg sih... mengganggu banget..muncul terus ga berhenti berhenti habis itu sinyal internet ilang.. sangaat kecewa https://t.co/KVWLQdDStG,1,1,'http://pbs.twimg.com/profile_images/1068579344484724736/uqYxzDJB_normal.jpg,"[""http://pbs.twimg.com/media/DtRbAWrU8AADGCm.jpg""]",'https://twitter.com/statuses/1068579094378336256,,'1067074201838919681,'548904824,,,"[{""id"":""\\""548904824\\"""",""name"":""\\""IndosatCare\\""""}]",0,0,0,0,,,,[],0,,,,'in,'id,,,,,,,,,,,,,,,,,
myXL Care,'1068579696328069120,01/12/2018 1:57,'social_media,'twitter,'status,'account,'480224156,'217324534,'alexander_jaya,'Yusuf Alexander,'@Jvanz507 @myXLCare Maaf min sebelumnya saya udah ganti ke iPhone Xs jadi seharusnya tidak terjadi masalah,1,'http://pbs.twimg.com/profile_images/1055275114822955008/TDzS7gpZ_normal.jpg,[],'https://twitter.com/statuses/1068579696328069120,'I'm neither especially clever nor especially gifted,'1068577442439122944,'471882198,,,"[{""id"":""\\""471882198\\"""",""name"":""\\""Jvanz507\\""""},{""id"":""\\""480224156\\"""",""name"":""\\""myXLCare\\""""}]",291,0,0,0,,'Jakarta, Indonesia,'male,"[""fashion""]",0,,,,'in,'en,,,,,,,,,,,,,,,,,
Indosat Ooredoo Care,'1068580312018370560,01/12/2018 1:59,'social_media,'twitter,'status,'account,'548904824,'54634488,'handyani1202,'Handyani,'@IndosatCare reset connection please..kok ga bisa download terus?tulisannya waiting for network terus nih,1,'http://pbs.twimg.com/profile_images/883009177425108993/pc57bScH_normal.jpg,[],'https://twitter.com/statuses/1068580312018370560,'Aquarian. A Type. Wanderlust.,,'548904824,,,"[{""id"":""\\""548904824\\"""",""name"":""\\""IndosatCare\\""""}]",596,0,0,0,,,,"[""culinary""]",0,,,,'tl,'en,,,,,,,,,,,,,,,,,,
Indosat Ooredoo Care,'1068581751079882752,01/12/2018 2:05,'social_media,'twitter,'status,'account,'548904824,'391240499,'nurindahahaha,'leein,'@IndosatCare Hai minn  maaf sebelumnya. Tadi sempet diperbaharui sistemnya,1, tapi masih tetep aja lemot jaringannya. Tolong jangan terus seperti ini sampai senin nanti saya gabisa ujian:'),1,'http://pbs.twimg.com/profile_images/1068449757964599296/sSaG2h1x_normal.jpg,[],'https://twitter.com/statuses/1068581751079882752,'active again yey,'1063535839790145536,'548904824,,,"[{""id"":""\\""548904824\\"""",""name"":""\\""IndosatCare\\""""}]",495,0,0,0,,,,"[""technology""]",0,,,,'in,'id,,,,,,,,,,,,,,,,
Indosat Ooredoo Care,'1068582044932820992,01/12/2018 2:06,'social_media,'twitter,'status,'account,'548904824,'4756569044,'kuntoro24,'permana,'@IndosatCare internetan kok cuma bisa pake tweeter aja sosmed yg lain ga bisa.kenapa yh???,1,1,'http://pbs.twimg.com/profile_images/687512810620764161/yNOuLKz8_normal.jpg,[],'https://twitter.com/statuses/1068582044932820992,,,'548904824,,,"[{""id"":""\\""548904824\\"""",""name"":""\\""IndosatCare\\""""}]",27,0,0,0,,,'male,[],0,,,,'in,'en,,,,,,,,,,,,,,,,,
Indosat Ooredoo Care,'1068582926961455104,01/12/2018 2:09,'social_media,'twitter,'status,'account,'548904824,'395061929,'herry_2013,'heriyanto,'@IndosatCare kenapa tdk bisa unreg *123*44# PT. GMD? Selalu timeout dan error. Entah bgmana pula layanan ini nyangkut di nomor saya. :(,1,'http://pbs.twimg.com/profile_images/1013964738009550849/5Azc6o-3_normal.jpg,[],'https://twitter.com/statuses/1068582926961455104,,,'548904824,,,"[{""id"":""\\""548904824\\"""",""name"":""\\""IndosatCare\\""""}]",12,0,0,0,,'Bogor,,[],0,'Indonesia,'Bogor,'Jawa Barat,'in,'en,,,,,,,,,,,,,,,,,,
Indosat Ooredoo Care,'1068583130473226245,01/12/2018 2:10,'social_media,'twitter,'status,'account,'548904824,'616964653,'grandbulus88,'zonk,'@andhikaradity14 @IndosatCare @YLKI_ID @kemkominfo wah sama gan....parah dahh,1,'http://pbs.twimg.com/profile_images/521058442094456833/weoJZjAM_normal.jpeg,[],'https://twitter.com/statuses/1068583130473226245,,'1067767161471492096,'1059807969137766400,,,"[{""id"":""\\""1059807969137766400\\"""",""name"":""\\""andhikaradity14\\""""},{""id"":""\\""548904824\\"""",""name"":""\\""IndosatCare\\""""},{""id"":""\\""212085357\\"""",""name"":""\\""YLKI_ID\\""""},{""id"":""\\""177848697\\"""",""name"":""\\""kemkominfo\\""""}]",0,0,0,0,,,,[],0,,,,'in,'en,,,,,,,,,,,,,,,,,,
Indosat Ooredoo Care,'1068583899721228288,01/12/2018 2:13,'social_media,'twitter,'status,'account,'548904824,'200028480,'irwan_wiratama,'irwan wiratama,'@IndosatCare Tolong diperjelas maksudnya jawaban anda tentang pemakaian saya melebihi pengguna rata2? Ini sisa pake… https://t.co/TOB4mdnWtJ,1,'http://pbs.twimg.com/profile_images/1507928000/IMG-20110812-00680_normal.jpg,[],'https://twitter.com/statuses/1068583899721228288,,'1068581285252292608,'548904824,,,"[{""id"":""\\""548904824\\"""",""name"":""\\""IndosatCare\\""""}]",8,0,0,0,,'Bandung,'male,[],0,'Indonesia,'Bandung,'Jawa Barat,'in,'en,,,,,,,,,,,,,,,,,,
AXIS,'1068584151803019264,01/12/2018 2:14,'social_media,'twitter,'status,'account,'47251716,'1284999097,'febri4574,'Cah elek,'@ask_AXIS untung banyak ya... ane internetan pake wifi tpi pls ane sllu kepotong buat internet  padahal data selule… https://t.co/tl8MUuv3I0,1,1,'http://pbs.twimg.com/profile_images/839666779689369600/rHk5zrf2_normal.jpg,[],'https://twitter.com/statuses/1068584151803019264,'22th || Bottom || Karanganyar || Suka yg Slim & Dewasa || Gak suka yang Gemuk|| No Om-Om , No Brondong || real pic 💬 +6288220041836,,'47251716,,,"[{""id"":""\\""47251716\\"""",""name"":""\\""ask_AXIS\\""""}]",2682,0,0,0,,'Karanganyar, Central Java,,"[""religious"",""game"",""psychology"",""book""]",0,'Indonesia,'Karanganyar,'Jawa Tengah,'in,'en,,,,,,,,,,,,,,,
Telkomsel,'1068584476983275520,01/12/2018 2:16,'social_media,'twitter,'status,'account,'255409050,'1068570982325972992,'dandi57076802,'dandi,'@Telkomsel min bisa kirim no PUK via dm gk dibales bales,1,'http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,[],'https://twitter.com/statuses/1068584476983275520,,,'255409050,,,"[{""id"":""\\""255409050\\"""",""name"":""\\""Telkomsel\\""""}]",0,0,0,0,,,,[],0,,,,'in,'en,,,,,,,,,,,,,,,,,,
Indosat Ooredoo Care,'1068584750124695552,01/12/2018 2:17,'social_media,'twitter,'status,'account,'548904824,'345290086,'Fajijanot,'Fajar Aji Janottama,'@IndosatCare pemakaian sudah melebihi diatas rata rata pengguna lainnya itu gimana sistemnya? kok gak jelas si... kita beli paket kuota biar kita sendiri yang atur penggunaan internetnya... kok jadi kayak unlimited  azab lho min,1,1,'http://pbs.twimg.com/profile_images/1054048626203185152/cxpe5nca_normal.jpg,[],'https://twitter.com/statuses/1068584750124695552,,,'548904824,,,"[{""id"":""\\""548904824\\"""",""name"":""\\""IndosatCare\\""""}]",293,0,0,0,,'Pageruyung, Kendal,'male,[],0,'Indonesia,'Kendal,'Jawa Tengah,'in,'en,,,,,,,,,,,,,,,,
Indosat Ooredoo Care,'1068585355987714048,01/12/2018 2:19,'social_media,'twitter,'status,'account,'548904824,'76354780,'seorangivan,'seorangivan,'@IndosatCare sinyal 4G eug udh sebulan ini kok katro ya min di pondok cabe? Tp di tempat lain ga. Kenapa ya?,1,'http://pbs.twimg.com/profile_images/810552926477242368/Isq4Vgut_normal.jpg,[],'https://twitter.com/statuses/1068585355987714048,'Time you enjoy wasting, was not wasted.,,'548904824,,,"[{""id"":""\\""548904824\\"""",""name"":""\\""IndosatCare\\""""}]",436,0,0,0,,'Strawberry Fields Forever,,[],0,,,,'in,'en,,,,,,,,,,,,,,,,,
AXIS,'1068586259478589440,01/12/2018 2:23,'social_media,'twitter,'status,'account,'47251716,'1284999097,'febri4574,'Cah elek,"'@ask_AXIS Percuma.... Saya dah komplain berkali - kali dan jawaban yg saya terima ttp sama "" pulsa kepotong untuk i… https://t.co/NlOTZ7YGS3",1,'http://pbs.twimg.com/profile_images/839666779689369600/rHk5zrf2_normal.jpg,[],'https://twitter.com/statuses/1068586259478589440,'22th || Bottom || Karanganyar || Suka yg Slim & Dewasa || Gak suka yang Gemuk|| No Om-Om , No Brondong || real pic 💬 +6288220041836,'1068585450292436992,'47251716,,,"[{""id"":""\\""47251716\\"""",""name"":""\\""ask_AXIS\\""""}]",2682,0,0,0,,'Karanganyar, Central Java,,"[""religious"",""game"",""psychology"",""book""]",0,'Indonesia,'Karanganyar,'Jawa Tengah,'in,'en,,,,,,,,,,,,,,,,
AXIS,'1068587070598205440,01/12/2018 2:26,'social_media,'twitter,'status,'account,'47251716,'1284999097,'febri4574,'Cah elek,'@ask_AXIS Terlalu sering gw https://t.co/1GF1OYe6pA no gw tapi hasilnya nihil...,1,'http://pbs.twimg.com/profile_images/839666779689369600/rHk5zrf2_normal.jpg,[],'https://twitter.com/statuses/1068587070598205440,'22th || Bottom || Karanganyar || Suka yg Slim & Dewasa || Gak suka yang Gemuk|| No Om-Om , No Brondong || real pic 💬 +6288220041836,'1068586568137359360,'47251716,,,"[{""id"":""\\""47251716\\"""",""name"":""\\""ask_AXIS\\""""}]",2682,0,0,0,,'Karanganyar, Central Java,,"[""religious"",""game"",""psychology"",""book""]",0,'Indonesia,'Karanganyar,'Jawa Tengah,'in,'en,,,,,,,,,,,,,,,,
