object,original_id,date_created,resource_type,specific_resource_type,specific_type,stream_type,object_content,from_id,from_username,name,content,final_sentiment,from_display_picture,media_link,link,bio,reply_to_original_id,reply_to_user_id,retweet_from_original_id,retweet_from_user_id,mentioned,audience,virality,applause,talk,timezone,location,gender,interest,score,negara,kota,provinsi,lang,userlang,,,,,,,,,
IndonesiaGaruda,'1071491078480490496,09/12/2018 02.45,'social_media,'twitter,'status,'account,'155418706,'155418706,'IndonesiaGaruda,'Garuda Indonesia,'@Ribby90 Selamat pagi  ada yang bisa kami bantu? - Bimo,0,0,'http://pbs.twimg.com/profile_images/445427923554562048/dYJF3HXV_normal.jpeg,[],'https://twitter.com/statuses/1071491078480490496,'The Airline Of Indonesia | 24hrs Call Center 08041807807, +622123519999 | customer@garuda-indonesia.com |FB https://t.co/mqO603cDjl,'1071490648476241920,'824845001997770754,,,"[{""id"":""824845001997770754"",""name"":""Ribby90""}]",3370114,0,0,0,,'Cengkareng,,[],0,,,,'in,'en,,,,,,,
IndonesiaGaruda,'1071486830095216640,09/12/2018 02.29,'social_media,'twitter,'status,'account,'155418706,'155418706,'IndonesiaGaruda,'Garuda Indonesia,'@RubbYeahh Currently we don't have direct flight to France. Thank you. - Robby,0,'http://pbs.twimg.com/profile_images/445427923554562048/dYJF3HXV_normal.jpeg,[],'https://twitter.com/statuses/1071486830095216640,'The Airline Of Indonesia | 24hrs Call Center 08041807807, +622123519999 | customer@garuda-indonesia.com |FB https://t.co/mqO603cDjl,'1071485719837724672,'428061129,,,"[{""id"":""428061129"",""name"":""RubbYeahh""}]",3370114,0,0,0,,'Cengkareng,,[],0,,,,'en,'en,,,,,,,,
IndonesiaGaruda,'1071449613452881920,09/12/2018 00.01,'social_media,'twitter,'status,'account,'155418706,'155418706,'IndonesiaGaruda,'Garuda Indonesia,'@tomzstone Selamat malam @garuda_cargo mohon dibantu informasi lebih lanjutnya. Terima kasih. - Robby,0,'http://pbs.twimg.com/profile_images/445427923554562048/dYJF3HXV_normal.jpeg,[],'https://twitter.com/statuses/1071449613452881920,'The Airline Of Indonesia | 24hrs Call Center 08041807807, +622123519999 | customer@garuda-indonesia.com |FB https://t.co/mqO603cDjl,'1071446779474800642,'131230693,,,"[{""id"":""131230693"",""name"":""tomzstone""},{""id"":""932517573610037248"",""name"":""garuda_cargo""}]",3370114,0,0,0,,'Cengkareng,,[],0,,,,'in,'en,,,,,,,,
'Ahmad Yani,'1071494058000830464,09/12/2018 02.57,'social_media,'twitter,'status,'keyword,'Ahmad Yani,'625890723,'bkipm_semarang,'BKIPM Semarang PASTI,'9/12 Pemeriksaan ulang kesesuaian jumlah jenis ukuran Media pembawa yang dilalulintaskan melalui Bandara Ahmad Yani.  Media Pembawa berupa Udang Belalang 63 ekor  1 koli tujuan Jakarta. Pengirim: Kandar. Penerima: DY @HumasBKIPM @PerdanaGatot @BKIPMJakartaI https://t.co/d3CMQFyDPS,0,0,'http://pbs.twimg.com/profile_images/1035458408298639360/rmAcE2UE_normal.jpg,"[""http://pbs.twimg.com/media/Dt61_PaVAAAtgaO.jpg""]",'https://twitter.com/statuses/1071494058000830464,'Akun Twitter resmi Balai KIPM Semarang - BKIPM - KKP | Certified by ISO 17025, ISO 9001 & ISO 17020 | semarang@bkipm.kkp.go.id | Telp. 024-3541769,,,,,"[{""id"":""2990465502"",""name"":""HumasBKIPM""},{""id"":""853843660609208320"",""name"":""PerdanaGatot""},{""id"":""3007360344"",""name"":""BKIPMJakartaI""}]",1414,0,0,0,,'Central Java, Indonesia,,[],0,,,,'in,'id,,,,,,
'Juanda,'1071459499158921216,09/12/2018 00.40,'social_media,'twitter,'status,'keyword,'Juanda,'234256771,'PremiumStation,'Premium Plus Station,'Abu paska letusan Gunung Kelud hingga 40.000 kaki  ukuran ini terjadi di sekitar Bandara Udara Juanda Surabaya,0,0,'http://pbs.twimg.com/profile_images/558550500702842881/wLqQSTuC_normal.jpeg,[],'https://twitter.com/statuses/1071459499158921216,'Jual Beauty Blender Indonesia,,,,,[],1383,0,0,0,,'Indonesia,,[],0,,,,'in,'en,,,,,,,,
Garuda Indonesia,'1987535331361179_1987808451333867,09/12/2018 00.44,'social_media,'facebook,'comment,'account,'277932982321431,'277932982321431,'Garuda Indonesia,'Garuda Indonesia,'Aktif Kak Luqman  jika berkenan silakan mencoba melalui website www.garuda-indonesia.com. Terima kasih. - Bimo,0,0,'https://graph.facebook.com/277932982321431/picture,[],https://facebook.com/1987535331361179_1987808451333867,,'277932982321431_1987535331361179,'277932982321431,,,[],0,0,0,0,,,,[],0,,,,,,,,,,,,,
'Juanda,'1071467040555188225,09/12/2018 01.10,'social_media,'twitter,'status,'keyword,'Juanda,'234256771,'PremiumStation,'Premium Plus Station,'Bandara Juanda Surabaya ditutup total krn debu yg menutupi pesawat-pesawat setelah meletusnya Gunung Kelud,0,'http://pbs.twimg.com/profile_images/558550500702842881/wLqQSTuC_normal.jpeg,[],'https://twitter.com/statuses/1071467040555188225,'Jual Beauty Blender Indonesia,,,,,[],1383,0,0,0,,'Indonesia,,[],0,,,,'in,'en,,,,,,,,,
Garuda Indonesia,'1987535331361179_1987805331334179,09/12/2018 00.41,'social_media,'facebook,'comment,'account,'277932982321431,'277932982321431,'Garuda Indonesia,'Garuda Indonesia,'Dikhawatirkan saat ini sedang terjadi peningkatan sistem  mohon mencoba kembali secara berkala. Terima kasih. - Bimo,0,0,'https://graph.facebook.com/277932982321431/picture,[],'https://facebook.com/1987535331361179_1987805331334179,,'277932982321431_1987535331361179,'277932982321431,,,[],0,0,0,0,,,,[],0,,,,,,,,,,,,,
'AP 2,'1071491369233985536,09/12/2018 02.47,'social_media,'twitter,'status,'keyword,'AP 2,'242704195,'AEPishere,'Abdulla Emir Pramudya #HOKI :),'Dua hari yang lalu saya berkesempatan untuk menaiki pesawat garuda.indonesia edisi tahun 70an dalam rangka perjalanan dari Jakarta (@CGK_AP2) - Singapura (@changiairport).Sebuah… https://t.co/ALXeyjq3ah,0,0,'http://pbs.twimg.com/profile_images/1043313105504092160/ymvxx7_E_normal.jpg,[],https://twitter.com/statuses/1071491369233985536,'Pecinta Sepakbola Indonesia|SONIQ 1620 2100 1795 0000|❤ travelling|Alumni FKUI&MARS URINDO|Pendengar Setia @987GenFM|COmate = Alovers + Kivers + SONIQ + Bstarz,,,,,"[{""id"":""172286970"",""name"":""CGK_AP2""},{""id"":""65268724"",""name"":""ChangiAirport""}]",2955,0,1,0,,'Jakarta,,[],0,,,,'in,'en,,,,,,,,
'KLIA,'1071484651385049088,09/12/2018 02.20,'social_media,'twitter,'status,'keyword,'KLIA,'1964526140,'asyraf_ni,'Mat Takuk,'👀 (@ Charterfield KLIA in Klia  Selangor) https://t.co/gbhK5kZyYA,0,0,'http://pbs.twimg.com/profile_images/1044075821680513026/7hcZaJ5f_normal.jpg,[],'https://twitter.com/statuses/1071484651385049088,'🚚💨👀,,,,,[],1044,0,0,0,,'aiyetam bahau yoww,,[],0,,,,'in,'en,,,,,,,,
Garuda Indonesia,'1987535331361179_1987801644667881,09/12/2018 00.38,'social_media,'facebook,'comment,'account,'277932982321431,,,,'Garuda Indonesia seperti ini saya login akun garudamiles di mobile apps GA,0,'https://graph.facebook.com//picture,[],https://facebook.com/1987535331361179_1987801644667881,,'277932982321431_1987535331361179,'277932982321431,,,[],0,0,0,0,,,,[],0,,,,,,,,,,,,,,
Garuda Indonesia,'1987535331361179_1987806154667430,09/12/2018 00.42,'social_media,'facebook,'comment,'account,'277932982321431,,,,'Garuda Indonesia tapi akun garudamiles sy masih aktif kan,0,'https://graph.facebook.com//picture,[],'https://facebook.com/1987535331361179_1987806154667430,,'277932982321431_1987535331361179,'277932982321431,,,[],0,0,0,0,,,,[],0,,,,,,,,,,,,,,
Garuda Indonesia,'1987535331361179_1987852917996087,09/12/2018 00.47,'social_media,'facebook,'comment,'account,'277932982321431,,,,'Garuda Indonesia untuk penerbangan MDC - CGK tgl 7 Januari 2019 subklas N  atau K-H tersedia?,0,0,'https://graph.facebook.com//picture,[],'https://facebook.com/1987535331361179_1987852917996087,,'277932982321431_1987535331361179,'277932982321431,,,[],0,0,0,0,,,,[],0,,,,,,,,,,,,,
IndonesiaGaruda,'1071481323888435200,09/12/2018 02.07,'social_media,'twitter,'status,'account,'155418706,'891303639507128325,'adarran___,'RA,Nada 'Hired him in 10 years from now @IndonesiaGaruda 🙏🙏🙏🙏😥😥😥 https://t.co/COaH11K3Kl,0,0,'http://pbs.twimg.com/profile_images/1043547748480385024/IENBO1qF_normal.jpg,[],'https://twitter.com/statuses/1071481323888435200,'love Excel and Rendang, of course Indonesia (not Malay dish). vaccine first, AI second. First Responder,,,,,"[{""id"":""155418706"",""name"":""IndonesiaGaruda""}]",351,0,0,0,,'Delhi,,[],0,,,,'en,'en,,,,,,
'Changi,'1071489241358786562,09/12/2018 02.38,'social_media,'twitter,'status,'keyword,'Changi,'709293540594085888,'FaridulAlamFar2,'Faridul Alam Farid,'I liked a @YouTube video https://t.co/nhVKl5j2kc EP.7  HARI KE-2 HAWKER PLACE SINGAPORE DAN CHANGI. sudah pernah liat kupu-kupu makan,0,0,'http://pbs.twimg.com/profile_images/835733437159911425/Qrea3IPK_normal.jpg,[],https://twitter.com/statuses/1071489241358786562,,,,,,"[{""id"":""10228272"",""name"":""YouTube""}]",19,0,0,0,,'dhaka, bangladesh,,[],0,,,,'in,'en,,,,,,,
'Kuala Lumpur International Airport,'1071458460674469888,09/12/2018 00.36,'social_media,'twitter,'status,'keyword,'Kuala Lumpur International Airport,'329779902,'FikriAzim_,'Fikri 'Azim,'I'm at Kuala Lumpur International Airport 2 (KLIA2) - @my_airports in Sepang  Selangor https://t.co/J5boBklNaj,0,0,'http://pbs.twimg.com/profile_images/841166612774375426/LRRwYdVD_normal.jpg,[],'https://twitter.com/statuses/1071458460674469888,,,,,,"[{""id"":""386353991"",""name"":""MY_Airports""}]",181,0,0,0,,,,[],0,,,,'in,'en,,,,,,,,
'Halim Perdanakusuma,'1071462956766916609,09/12/2018 00.54,'social_media,'twitter,'status,'keyword,'Halim Perdanakusuma,'952528776746840065,'ediyb119,'Ediyangbiru119,'Jokowi ke Jogja Lagi  Jogja Istimewa! Kamis,0, 6 Desember 2018, pesawat Kepresiden yang membawa Jokowi lepas landas dari Pangkalan TNI AU Halim Perdanakusuma, Jakarta Timur menuju menuju Jogjakarta. Di Jogjakarta, beberapa agenda menanti Jokowi. https://t.co/D77NykXcZ2,0,'http://pbs.twimg.com/profile_images/1059622875118764033/-UCWkD9X_normal.jpg,[],'https://twitter.com/statuses/1071462956766916609,'Sebagai siapa kita hari ini..?,,,,,[],38,0,0,0,,'Sidomulyo , Lampung Selatan,,[],0,,,,'in,'id,,,
'Juanda,'1071460012340301825,09/12/2018 00.42,'social_media,'twitter,'status,'keyword,'Juanda,'158300221,'qiqioo,'ㅤㅤㅤ,'Juanda Airport  March 2016 https://t.co/yzsvAUg4Y3,0,0,'http://pbs.twimg.com/profile_images/1067302681885081601/wSJxrsKu_normal.jpg,"[""http://pbs.twimg.com/media/Dt6XLw2U8AA-lHL.jpg""]",'https://twitter.com/statuses/1071460012340301825,,'981918052601098240,'158300221,,,[],998,0,0,0,,'🇮🇩,,[],0,,,,'es,'en,,,,,,,,
Garuda Indonesia,'1987535331361179_1987855097995869,09/12/2018 00.49,'social_media,'facebook,'comment,'account,'277932982321431,'277932982321431,'Garuda Indonesia,'Garuda Indonesia,'Kami cek saat ini tidak tersedia  mohon cek kembali secara berkala. Terima kasih. - Bimo,0,0,'https://graph.facebook.com/277932982321431/picture,[],'https://facebook.com/1987535331361179_1987855097995869,,'277932982321431_1987535331361179,'277932982321431,,,[],0,0,0,0,,,,[],0,,,,,,,,,,,,,
'Soekarno Hatta,'1071474953097113600,09/12/2018 01.41,'social_media,'twitter,'status,'keyword,'Soekarno Hatta,'2915574242,'zachpudi,'zacharias,'Mohon dishare. Ditemukan dompet atas nama sesuai KTP. Di bandara soekarnohatta terminal 1C.jam.1.30 https://t.co/qzGPUMRXFT,0,'http://pbs.twimg.com/profile_images/889675562838511616/ebFvBOWV_normal.jpg,"[""http://pbs.twimg.com/media/Dt6kxopUcAAV3Cz.jpg""]",'https://twitter.com/statuses/1071474953097113600,,,,,,[],1,0,0,0,,,,[],0,,,,'in,'id,,,,,,,,,
Garuda Indonesia,'1987535331361179_1987852104662835,09/12/2018 00.46,'social_media,'facebook,'comment,'account,'277932982321431,'277932982321431,'Garuda Indonesia,'Garuda Indonesia,'Terima kasih kembali :) - Bimo,0,'https://graph.facebook.com/277932982321431/picture,[],'https://facebook.com/1987535331361179_1987852104662835,,'277932982321431_1987535331361179,'277932982321431,,,[],0,0,0,0,,,,[],0,,,,,,,,,,,,,,
Garuda Indonesia,'1985436724904373_1987771848004194,09/12/2018 00.05,'social_media,'facebook,'comment,'account,'277932982321431,'277932982321431,'Garuda Indonesia,'Garuda Indonesia,'Terima kasih kembali :) - Robby,0,'https://graph.facebook.com/277932982321431/picture,[],'https://facebook.com/1985436724904373_1987771848004194,,'277932982321431_1985436724904373,'277932982321431,,,[],0,0,0,0,,,,[],0,,,,,,,,,,,,,,
'Sultan Hasanuddin,'1071476800725803008,09/12/2018 01.49,'social_media,'twitter,'status,'keyword,'Sultan Hasanuddin,'157980898,'danar4u,'Danar Ronge,'Terlalu Madoi' Rampo.. @ Bandar Udara Internasional Sultan Hasanuddin https://t.co/aQm01cFOtZ,0,'http://pbs.twimg.com/profile_images/708183069430165504/HQiMpWNJ_normal.jpg,[],'https://twitter.com/statuses/1071476800725803008,'Show must go on..,,,,,[],208,0,0,0,,'Tana Toraja, Sul-Sel,,[],0,,,,'in,'id,,,,,,,,
'Juanda,'1071469244116652033,09/12/2018 01.19,'social_media,'twitter,'status,'keyword,'Juanda,'3224016240,'edhi_shi,'Edu,'Waktu ke sby tdk ada tuh preman. Stasiun pasar Turi juga sama dgn stasiun kereta yg lain di kota2 lain. Bandara Juanda dibilang ada preman? Gk salah tuh  ada personil bantuan dr militer lho selain petugas keamanan bandara. Masih berani premannya? Huebate rek iku preman https://t.co/tl3awdp925,0,0,'http://pbs.twimg.com/profile_images/688573864364781569/XNcMhJNq_normal.jpg,[],'https://twitter.com/statuses/1071469244116652033,'just ordinary man,,,,,[],296,1,0,0,,'jogja,,[],0,,,,'in,'id,,,,,,,,
'Soekarno Hatta,'1071468837055410176,09/12/2018 01.17,'social_media,'twitter,'status,'keyword,'Soekarno Hatta,'2677290366,'v3adilla,'Fitri Adilla,'Welcome ✈️ @ Bandara Internasional Soekarno Hatta https://t.co/Esq74BIg4e,0,'http://pbs.twimg.com/profile_images/972015511029497856/uHByScb3_normal.jpg,[],'https://twitter.com/statuses/1071468837055410176,'Just an ordinary girl, trying to capture the good things in my life || ig : @v3adilla || @v3pipho || https://t.co/13AqUFz7z7,,,,,[],122,0,0,0,,'Bukittinggi, Bogor ~ Indonesia,,[],0,,,,'in,'en,,,,,,,
'Soekarno Hatta,'1071468364227403776,09/12/2018 01.15,'social_media,'twitter,'status,'keyword,'Soekarno Hatta,'2677290366,'v3adilla,'Fitri Adilla,'Welcome ✈️ @ Bandara Internasional Soekarno Hatta https://t.co/TVackeP6UV,0,'http://pbs.twimg.com/profile_images/972015511029497856/uHByScb3_normal.jpg,[],'https://twitter.com/statuses/1071468364227403776,'Just an ordinary girl, trying to capture the good things in my life || ig : @v3adilla || @v3pipho || https://t.co/13AqUFz7z7,,,,,[],122,0,0,0,,'Bukittinggi, Bogor ~ Indonesia,,[],0,,,,'in,'en,,,,,,,
IndonesiaGaruda,'1071485719837724672,09/12/2018 02.24,'social_media,'twitter,'status,'account,'155418706,'428061129,'RubbYeahh,'Cerulean,'will there be cheaper flight tickets to france ? @IndonesiaGaruda https://t.co/zUWC4ROvAj,0,'http://pbs.twimg.com/profile_images/1070561873332908032/VssjZNJG_normal.jpg,[],'https://twitter.com/statuses/1071485719837724672,'diggy down down dudududuuuuu,,,,,"[{""id"":""155418706"",""name"":""IndonesiaGaruda""}]",223,0,0,0,,,,[],0,,,,'en,'en,,,,,,,,,
'Soekarno Hatta,'1071490440992444416,09/12/2018 02.43,'social_media,'twitter,'status,'keyword,'Soekarno Hatta,'889743550790852612,'DkiInfo,'Info DKI,'yakni Bandara Soekarno–Hatta dan Bandara Halim Perdanakusuma  serta tiga pelabuhan laut di Tanjung Priok,0, Sunda Kelapa, dan Ancol.,0,'http://pbs.twimg.com/profile_images/889744743344635904/VkKuoB9O_normal.jpg,[],'https://twitter.com/statuses/1071490440992444416,'tentang dki jakarta,,,,,[],28,0,0,0,,'DKI Jakarta, Indonesia,,[],0,,,,'in,'id,,,,,
'shopee,'1071118415576817665,08/12/2018 2:05,'social_media,'twitter,'status,'keyword,'shopee,'828762002,'CelotehSukabumi,'Celoteh Sukabumi,'#KursiBocengAnak #EXPRO MATIC/BEBEK GARANSI https://t.co/0n1rYHsZKJ FreeOngkir #Shopee https://t.co/CiD2NdIFwy #CelotehShop #CelotehAds,0,'http://pbs.twimg.com/profile_images/2619237150/ljyfzt8nill1s62bc0z3_normal.jpeg,"[""http://pbs.twimg.com/media/DAPYuh3VYAItDaC.jpg""]",'https://twitter.com/statuses/1071118415576817665,'Follow & Mention / Hashtag #CelotehSukabumi | Daftar iklan ke http://t.co/xfshGDMaWu | More Info -- @CelotehAds,,,,,[],1600,0,0,0,,'Sukabumi, West Java,,[],0,,,,'in,'id,,,,,,,,
'shopee,'1071114025109458945,08/12/2018 1:47,'social_media,'twitter,'status,'keyword,'shopee,'909609773129015297,'suzylovbot,'lala,'#YouthInJKT Saya menjual DAY6 Slogan Set mulai dari Rp25.000. Ayo beli di Shopee! https://t.co/3HvWmBfsG0,0,'http://pbs.twimg.com/profile_images/1054728520230952960/t8jvhpWo_normal.jpg,[],'https://twitter.com/statuses/1071114025109458945,'CA (FA @jypnatioff),,,,,[],7,0,0,0,,,,[],0,,,,'in,'en,,,,,,,,,
'shopee,'1071125980083703808,08/12/2018 2:35,'social_media,'twitter,'status,'keyword,'shopee,'1562201468,'rlthingy,'/rlt/ - DESEMBER FULL GIVEAWAY, CEK PINNED '/rlt/ ada yg jual koin shopee? &gt,0,120c . sekalian bantu checkout. rep harganya juga ya,0,'http://pbs.twimg.com/profile_images/1054728283852627969/y6oBLkIs_normal.jpg,[],https://twitter.com/statuses/1071125980083703808,'pengen nanya2 tentang RL? DM dgn format /rlt/ | SUB @rilthingy @rlthingy2 @koreanthingy @munbukalapak @kuliner_kotaku @RPEWorld_ @lelangmfs * @techn0thingy,,,,,[],157889,0,0,0,,'pp @drop_it_here,,[],0,,,,'in,'en,,,,,,,
