original_id,date_created,resource_type,specific_resource_type,specific_type,stream_type,object_content,from_id,from_username,name,content,final_sentiment,from_display_picture,media_link,link,bio,reply_to_original_id,reply_to_user_id,retweet_from_original_id,retweet_from_user_id,mentioned,audience,virality,applause,talk,timezone,location,gender,interest,score,negara,kota,provinsi,lang,userlang
'1364023510401083_1365325330270901,01/11/2018 18:39,'social_media,'facebook,'comment,'account,Datsun.indonesia ,,,,'Ready min! Siap berangkat dengan All New Datsun Go😎,2,'https://graph.facebook.com//picture,[],'https://facebook.com/1364023510401083_1365325330270901,,'275216562615122_1364023510401083,'275216562615122,,,[],0,0,0,0,,,,[],0,,,,,
'1363484747121626_1365325096937591,01/11/2018 18:38,'social_media,'facebook,'comment,'account,Datsun.indonesia ,,,,'Dengerin musik biar gag bosen dan ngantuk di jalan min,2,'https://graph.facebook.com//picture,[],'https://facebook.com/1363484747121626_1365325096937591,,'275216562615122_1363484747121626,'275216562615122,,,[],0,0,0,0,,,,[],0,,,,,
'1364023510401083_1365098943626873,01/11/2018 09:35,'social_media,'facebook,'comment,'account,Datsun.indonesia ,,,,'Nunggu punya kunci sendiri min �?,2,'https://graph.facebook.com//picture,[],'https://facebook.com/1364023510401083_1365098943626873,,'275216562615122_1364023510401083,'275216562615122,,,[],0,0,0,0,,,,[],0,,,,,
'1364734936996607_1365094976960603,01/11/2018 09:25,'social_media,'facebook,'comment,'account,Datsun.indonesia ,,,,'_DATSUN PUSAT_ ( JABODETABEK )    0888 1350 778      ( Call / Wa ),2,'https://graph.facebook.com//picture,[],'https://facebook.com/1364734936996607_1365094976960603,,'275216562615122_1364734936996607,'275216562615122,,,[],0,0,0,0,,,,[],0,,,,,
'1364734936996607_1364903046979796,01/11/2018 01:31,'social_media,'facebook,'comment,'account,Datsun.indonesia ,,,,'Mantap N Keren..,2,'https://graph.facebook.com//picture,[],'https://facebook.com/1364734936996607_1364903046979796,,'275216562615122_1364734936996607,'275216562615122,,,[],0,0,0,0,,,,[],0,,,,,
'1903130454741959771_4848296308,01/11/2018 23:48,'social_media,'instagram,'media,'keyword,'nissanindonesia,'fk3o_pusat,'fk3o_pusat,'fk3o_pusat,'@Regran_ed from @familyofxtrailindonesia -  Road to anniversary.. #budidalton #anniversary #foxi #familyofxtrailindonesia #xtrail #xtrailclub #charity #nissanxtrail #nissanindonesia #club #automotif #video  @foxitasikmalaya  @foxi_padang @budi_dalton_official - #FK3O,2,,"[""https://scontent.cdninstagram.com/vp/d909fe1507510110be2fbb58d7059cd9/5BDDF466/t51.2885-15/e35/43984404_292343034822621_9167857307314236693_n.jpg""]",'https://www.instagram.com/p/BppRxC8H0Rb/,,,,,,[],0,0,4,0,,,,[],4,,,,,
'1903129720553605973_344622968,01/11/2018 23:46,'social_media,'instagram,'media,'keyword,'nissanindonesia,'dikri.nasihin,'dikri.nasihin,'dikri.nasihin,'Road to Anniversary... #budidalton #anniversary #foxi #familyofxtrailindonesia #xtrail #xtrailclub #charity #nissanxtrail #nissanindonesia #club #automotif #video  @foxitasikmalaya  @foxi_padang @budi_dalton_official,2,,"[""https://scontent.cdninstagram.com/vp/35943a0b31220b58ac2cef9953d69aef/5BDDEC07/t51.2885-15/e35/44000226_1996905380370041_4765933282406997212_n.jpg""]",'https://www.instagram.com/p/BppRmXLFgtV/,,,,,,[],0,0,3,0,,,,[],3,,,,,
'1903108406208581605_186871447,01/11/2018 23:03,'social_media,'instagram,'media,'keyword,'nissanindonesia,'ferllygunawan,'ferllygunawan,'ferllygunawan,'Fast Sale ! Used Cars Nissan Fairlady 350Z A/T cabriolet buildUp japan tahun: 2005 HANYA ADA 5 UNIT DI INDONESIA!! RARE!!! KM asli: 26.xxx mobil full original  plat : BM 350 ZZ  spek modif mesin : Knalpot: HKS (36jt) openfilter: HKS (8jt) Dastek Q+ ,-1, Idrive (12jt) header: HKS (7jt) battery: Amaron (1.2jt) Strutbar: nismo (2.8jt) spek kaki2:  Coilover : HKS hypermax (27jt) Velg 20inch Original HRE 591R lebar 8 9. (108jt) Brembo depan 320mm 4pot (43jt)  brembo belakang 300mm 2pot ( 38jt) Ban depan: Toyo T1 sport 245/35/20 (6.2jt) ban belakang: Toyo T1 sport 285/30/20 (6.2jt)  Ban baru ganti  spek audio:  3way gramond (12jt)  HU: alpine DVA 9861E (6jt)  processor: alpine pxa H700 (11jt) Power: Xseries ( 8jt) capasitor: Batcap (4jt) Total modif : 300an jt NB: Barang standart lengkap semua Price: 760.000.000 Nego sampai jadi �? Please Call Or WA For Special Offer ! 🙇 0816697699 / 0811997177 📲 #Nissan #350Z #370Z #Fairlady #Fairlady370Z #Nissan370Z #NissanFairlady370Z #NissanClub #NissanClubIndonesia #NissanJakarta #NissanIndonesia #CarGram #CarLifeStyle,2,,"[""https://scontent.cdninstagram.com/vp/55ea4844f0c75b87ff6b8d15dbd955fe/5C6885EB/t51.2885-15/sh0.08/e35/p640x640/44436323_140626906902041_1609064262590144673_n.jpg""]",'https://www.instagram.com/p/BppMwMpH0_l/,,,,,,[],0,0,53,0,,,,[],53,,,
'1903091500193855400_2291467615,01/11/2018 22:30,'social_media,'instagram,'media,'keyword,'nissanindonesia,'rendrajagantara_foxi001,'rendrajagantara_foxi001,'rendrajagantara_foxi001,'@Regran_ed from @familyofxtrailindonesia -  Road to anniversary.. #budidalton #anniversary #foxi #familyofxtrailindonesia #xtrail #xtrailclub #charity #nissanxtrail #nissanindonesia #club #automotif  @foxitasikmalaya  @foxi_padang @budi_dalton_official - #regrann,2,,"[""https://scontent.cdninstagram.com/vp/a53b6ef93f34d518ae92833bef0b7e22/5BDE0B31/t51.2885-15/e35/43915130_1771220806333405_6786089064281138862_n.jpg""]",'https://www.instagram.com/p/BppI6LsHreo/,,,,,,[],0,0,4,0,,,,[],4,,,,,
'1903079028202577321_8760249940,01/11/2018 22:05,'social_media,'instagram,'media,'keyword,'nissanindonesia,'ruly590,'ruly590,'ruly590,'#toyota #honda #subaru #mazda #nissan #Mitshubishi #ford #dahaitsu #suzuki #chivrolet #audi #ferrari #bmw #mercedes #hondaindonesia #jaguar #anaksmahits #anaksmaid  #anakhitskekinian #toyotaindonesia #modifikasicantik #modifikasi_cantik #modifikasi_kejam #nissanindonesia #otomotifindonesia #otomotifzone #otomotif #volkswagenindonesia #volkswagen #isuzu,2,,"[""https://scontent.cdninstagram.com/vp/d88ff0a94e2490342cbdf1debddfb538/5C885E8A/t51.2885-15/sh0.08/e35/s640x640/43638143_1063589353812015_1639551814861593636_n.jpg""]",'https://www.instagram.com/p/BppGEsPgp2p/,,,,,,[],0,0,14,0,,,,[],14,,,,,
'1903076119882493129_6449160938,01/11/2018 22:00,'social_media,'instagram,'media,'keyword,'nissanindonesia,'foxitasikmalaya,'foxitasikmalaya,'foxitasikmalaya,'#Repost @familyofxtrailindonesia • • • • • Road to anniversary.. #budidalton #anniversary #foxi #familyofxtrailindonesia #xtrail #xtrailclub #charity #nissanxtrail #nissanindonesia #club #automotif  @foxitasikmalaya  @foxi_padang @budi_dalton_official,2,,"[""https://scontent.cdninstagram.com/vp/3c4b37a76f6a464d3a90781a6fa71347/5BDD340F/t51.2885-15/e35/43984810_377330929673746_3319950343820441351_n.jpg""]",'https://www.instagram.com/p/BppFaXqH-zJ/,,,,,,[],0,0,3,0,,,,[],3,,,,,
'1903068659171787198_2250194523,01/11/2018 21:46,'social_media,'instagram,'media,'keyword,'nissanindonesia,'familyofxtrailindonesia,'familyofxtrailindonesia,'familyofxtrailindonesia,'Road to anniversary.. #budidalton #anniversary #foxi #familyofxtrailindonesia #xtrail #xtrailclub #charity #nissanxtrail #nissanindonesia #club #automotif #video  @foxitasikmalaya  @foxi_padang @budi_dalton_official,2,,"[""https://scontent.cdninstagram.com/vp/054f88e37e363a5793c75ba3d13d27aa/5BDE0D30/t51.2885-15/sh0.08/e35/s640x640/43986187_2176674399261645_7701352030527578218_n.jpg""]",'https://www.instagram.com/p/BppDtzVHQG-/,,,,,,[],0,0,25,0,,,,[],25,,,,,
'1903062948105135044_8746575558,01/11/2018 21:33,'social_media,'instagram,'media,'keyword,'nissanindonesia,'wmmt_drestadd,'wmmt_drestadd,'wmmt_drestadd,'After PvP-2nd Run R34 Nür's JPC done by @drestadd.arts Ranked up to Shop Grade 16 350Z shuttle run done by Jeannelys-chan #wmmtid #maximumtuneindonesia #wmmt5dxplusindonesia #nissanindonesia #nissan350znismo #gtrownersclubindonesia #eurobeatintensifies #legend #jdm #instagamer,2,,"[""https://scontent.cdninstagram.com/vp/04d3d1e356a974a9446a83367fab81d2/5C83408D/t51.2885-15/sh0.08/e35/s640x640/45302575_149741289318127_1336452084179657353_n.jpg""]",'https://www.instagram.com/p/BppCasfA6PE/,,,,,,[],0,0,5,0,,,,[],5,,,,,
'1903031335165907637_8746575558,01/11/2018 20:30,'social_media,'instagram,'media,'keyword,'nissanindonesia,'wmmt_drestadd,'wmmt_drestadd,'wmmt_drestadd,'2ND RUN 1st round:Jeannelys(Evo IX Kobayakawa ver) VS @drestadd.arts(R34 Nür God Foot ver).R34 WINS 2nd Round:@drestadd.arts VS Arizu(M3 E46).R34 WINS 3rd round:Jeannelys(350Z Blackbird-MT3DX+ Ver) VS Arizu(R32 Nakazato Takeshi ver. for trial run).350Z WINS 4th round:Jeannelys(RX8) VS Arizu(M3 E46) VS @drestadd.arts(Evo VIII).EVO VIII WINS After PvP races soon P.S.:Sorry 4th pic was dark #wmmt5dxplusindonesia #wmmtid #artistvsartist #artistbattle #instagamer #maximumtuneindonesia #bmwcarclubindonesia #gtrownersclubindonesia #nissanindonesia #mazdaspeedrx8 #mazdaindonesia #mitsubishiindonesia #lancerevolution #bmwindonesia #wmmt5dxplusindonesia #initiald #eurobeatintensifies #jdm #wanganmidnight #friendgoals #squadgoals,2,,"[""https://scontent.cdninstagram.com/vp/b64bab52f417c4437a4de8b76990580b/5C69D44F/t51.2885-15/sh0.08/e35/s640x640/43265670_469488580206398_1473748786350100751_n.jpg""]",'https://www.instagram.com/p/Bpo7OqpAFK1/,,,,,,[],0,0,12,0,,,,[],12,,,,,
'1902963335314484383_8746575558,01/11/2018 18:15,'social_media,'instagram,'media,'keyword,'nissanindonesia,'wmmt_drestadd,'wmmt_drestadd,'wmmt_drestadd,'1st run! 1st PvP and shuttle:Arizu-chan(drove my Evo 8 for trial run) 2nd battle:@drestadd.arts(R32) VS Jeannelys(RX8).GTR R32 Won the rematch and got the special ghost #wmmt5dxplusindonesia #maximumtuneindonesia #wmmtid #wmmt5dxplus #instagamer #artistbattle #artistvsartist #bmwcarclubindonesia #gtrownersclubindonesia #bmwindonesia #nissanindonesia #mazdaspeedrx8 #mazdaindonesia #mitsubishiindonesia #lancerevolution,2,,"[""https://scontent.cdninstagram.com/vp/1f2b45e412508075de334d952d037924/5C68E8BB/t51.2885-15/sh0.08/e35/s640x640/44906494_1856261221096462_7920977931112188459_n.jpg""]",'https://www.instagram.com/p/BporxI2Ayyf/,,,,,,[],0,0,5,0,,,,[],5,,,,,
'1902941787532347420_2203054778,01/11/2018 17:32,'social_media,'instagram,'media,'keyword,'nissanindonesia,'nissanjakartaonlineshop,'nissanjakartaonlineshop,'nissanjakartaonlineshop,"'# BEST PROMO NISSAN NEW GRAND LIVINA SPECIAL VERSION 2018 # SV MT OTR 221.800.000  TDP  3.800.000 Angsuran 4.864.000 (60x) ALLRISK SV CVT OTR 233.900.000  TDP  5.700.000 Angsuran 5.129.000 (60x) ALLRISK XV MT OTR 239.700.000  TDP  6.600.000 Angsuran 5.257.000 (60x) ALLRISK XV CVT OTR 251.600.000  TDP  8.500.000 Angsuran 5.515.000 (60x) ALLRISK # HITUNGAN DAPAT DISESUAIKAN DENGAN PERMINTAAN KONSUMEN # # SYARAT KREDIT : KTP, NPWP, KK, PBB, slip gaji, rektab 3 bln terakhir # # DITOLAK LEASING BOOKING FEE KEMBALI 100% # Including Package Purchase ♢ Karpet Standar ♢ Kaca Film Solar Guard ♢ ANTI KARAT ♢ Free service 1rb s/d 50rb KM ♢ Garansi Mesin 3th/100rb KM ♢ Garansi Kelistrikan 1th INGIN PENAWARAN YANG ""LEBIH"" MENARIK ?  INGIN TAU ""DISCOUNT"" NYA ? Spesifikasi, Pemesanan dan Test Drive :  WA : 0817 7668 2190 ☆ Authorized Nissan Dealer #nissanindonesia #nissanid #autonetmagz #autobild #promonissan #salesnissan #kreditnissan #promojakarta #nissanjakartatimur #nissanjakartaselatan #viralindonesia #bengkelnissan #asesorisnissan #jualnissan #mobilbaru #mobilbekas #mobilkamu #promomobilmurah #promokreditmurah #mobilmurahjakarta #mobil123 #mobilmurah #viraljakarta #otosia #modifikasi #diskonnissan #gravinci #nissanjakarta",2,,"[""https://scontent.cdninstagram.com/vp/a24ddc97e71bd47a9dbfcee20efd1d55/5C762DAA/t51.2885-15/e35/44729391_517215822126140_4437847502161899785_n.jpg""]",'https://www.instagram.com/p/Bpom3k6HMgc/,,,,,,[],0,0,1,0,,,,[],1,,,,,
'1902941704460033055_2203054778,01/11/2018 17:32,'social_media,'instagram,'media,'keyword,'nissanindonesia,'nissanjakartaonlineshop,'nissanjakartaonlineshop,'nissanjakartaonlineshop,"'# BEST PROMO NISSAN NEW GRAND LIVINA SPECIAL VERSION 2018 # SV MT OTR 221.800.000  TDP  3.800.000 Angsuran 4.864.000 (60x) ALLRISK SV CVT OTR 233.900.000  TDP  5.700.000 Angsuran 5.129.000 (60x) ALLRISK XV MT OTR 239.700.000  TDP  6.600.000 Angsuran 5.257.000 (60x) ALLRISK XV CVT OTR 251.600.000  TDP  8.500.000 Angsuran 5.515.000 (60x) ALLRISK # HITUNGAN DAPAT DISESUAIKAN DENGAN PERMINTAAN KONSUMEN # # SYARAT KREDIT : KTP, NPWP, KK, PBB, slip gaji, rektab 3 bln terakhir # # DITOLAK LEASING BOOKING FEE KEMBALI 100% # Including Package Purchase ♢ Karpet Standar ♢ Kaca Film Solar Guard ♢ ANTI KARAT ♢ Free service 1rb s/d 50rb KM ♢ Garansi Mesin 3th/100rb KM ♢ Garansi Kelistrikan 1th INGIN PENAWARAN YANG ""LEBIH"" MENARIK ?  INGIN TAU ""DISCOUNT"" NYA ? Spesifikasi, Pemesanan dan Test Drive :  WA : 0817 7668 2190 ☆ Authorized Nissan Dealer #nissanindonesia #nissanid #autonetmagz #autobild #promonissan #salesnissan #kreditnissan #promojakarta #nissanjakartatimur #nissanjakartaselatan #viralindonesia #bengkelnissan #asesorisnissan #jualnissan #mobilbaru #mobilbekas #mobilkamu #promomobilmurah #promokreditmurah #mobilmurahjakarta #mobil123 #mobilmurah #viraljakarta #otosia #modifikasi #diskonnissan #gravinci #nissanjakarta",2,,"[""https://scontent.cdninstagram.com/vp/0518329caff1854e221810d6a5df0ae8/5C732263/t51.2885-15/e35/42925090_264758447721082_3855640866607690632_n.jpg""]",'https://www.instagram.com/p/Bpom2Xindwf/,,,,,,[],0,0,1,0,,,,[],1,,,,,
'1902941625984495027_2203054778,01/11/2018 17:32,'social_media,'instagram,'media,'keyword,'nissanindonesia,'nissanjakartaonlineshop,'nissanjakartaonlineshop,'nissanjakartaonlineshop,"'# BEST PROMO NISSAN NEW GRAND LIVINA SPECIAL VERSION 2018 # SV MT OTR 221.800.000  TDP  3.800.000 Angsuran 4.864.000 (60x) ALLRISK SV CVT OTR 233.900.000  TDP  5.700.000 Angsuran 5.129.000 (60x) ALLRISK XV MT OTR 239.700.000  TDP  6.600.000 Angsuran 5.257.000 (60x) ALLRISK XV CVT OTR 251.600.000  TDP  8.500.000 Angsuran 5.515.000 (60x) ALLRISK # HITUNGAN DAPAT DISESUAIKAN DENGAN PERMINTAAN KONSUMEN # # SYARAT KREDIT : KTP, NPWP, KK, PBB, slip gaji, rektab 3 bln terakhir # # DITOLAK LEASING BOOKING FEE KEMBALI 100% # Including Package Purchase ♢ Karpet Standar ♢ Kaca Film Solar Guard ♢ ANTI KARAT ♢ Free service 1rb s/d 50rb KM ♢ Garansi Mesin 3th/100rb KM ♢ Garansi Kelistrikan 1th INGIN PENAWARAN YANG ""LEBIH"" MENARIK ?  INGIN TAU ""DISCOUNT"" NYA ? Spesifikasi, Pemesanan dan Test Drive :  WA : 0817 7668 2190 ☆ Authorized Nissan Dealer #nissanindonesia #nissanid #autonetmagz #autobild #promonissan #salesnissan #kreditnissan #promojakarta #nissanjakartatimur #nissanjakartaselatan #viralindonesia #bengkelnissan #asesorisnissan #jualnissan #mobilbaru #mobilbekas #mobilkamu #promomobilmurah #promokreditmurah #mobilmurahjakarta #mobil123 #mobilmurah #viraljakarta #otosia #modifikasi #diskonnissan #gravinci #nissanjakarta",2,,"[""https://scontent.cdninstagram.com/vp/c4634d0a4e9894a04d020254cbbd0855/5C86837A/t51.2885-15/e35/42827110_258729274838052_4835165053527535990_n.jpg""]",'https://www.instagram.com/p/Bpom1OdHC2z/,,,,,,[],0,0,1,0,,,,[],1,,,,,
'1902941209028790750_2203054778,01/11/2018 17:31,'social_media,'instagram,'media,'keyword,'nissanindonesia,'nissanjakartaonlineshop,'nissanjakartaonlineshop,'nissanjakartaonlineshop,"'# BEST PROMO NISSAN NEW GRAND LIVINA SPECIAL VERSION 2018 # SV MT OTR 221.800.000  TDP  3.800.000 Angsuran 4.864.000 (60x) ALLRISK SV CVT OTR 233.900.000  TDP  5.700.000 Angsuran 5.129.000 (60x) ALLRISK XV MT OTR 239.700.000  TDP  6.600.000 Angsuran 5.257.000 (60x) ALLRISK XV CVT OTR 251.600.000  TDP  8.500.000 Angsuran 5.515.000 (60x) ALLRISK # HITUNGAN DAPAT DISESUAIKAN DENGAN PERMINTAAN KONSUMEN # # SYARAT KREDIT : KTP, NPWP, KK, PBB, slip gaji, rektab 3 bln terakhir # # DITOLAK LEASING BOOKING FEE KEMBALI 100% # Including Package Purchase ♢ Karpet Standar ♢ Kaca Film Solar Guard ♢ ANTI KARAT ♢ Free service 1rb s/d 50rb KM ♢ Garansi Mesin 3th/100rb KM ♢ Garansi Kelistrikan 1th INGIN PENAWARAN YANG ""LEBIH"" MENARIK ?  INGIN TAU ""DISCOUNT"" NYA ? Spesifikasi, Pemesanan dan Test Drive :  WA : 0817 7668 2190 ☆ Authorized Nissan Dealer #nissanindonesia #nissanid #autonetmagz #autobild #promonissan #salesnissan #kreditnissan #promojakarta #nissanjakartatimur #nissanjakartaselatan #viralindonesia #bengkelnissan #asesorisnissan #jualnissan #mobilbaru #mobilbekas #mobilkamu #promomobilmurah #promokreditmurah #mobilmurahjakarta #mobil123 #mobilmurah #viraljakarta #otosia #modifikasi #diskonnissan #gravinci #nissanjakarta",2,,"[""https://scontent.cdninstagram.com/vp/64ffa5c28da584bf30b0cb575446f424/5C694741/t51.2885-15/e35/44267868_314230299367640_3119743989068884605_n.jpg""]",'https://www.instagram.com/p/BpomvKInQne/,,,,,,[],0,0,2,0,,,,[],2,,,,,
'1902940939611897603_2203054778,01/11/2018 17:30,'social_media,'instagram,'media,'keyword,'nissanindonesia,'nissanjakartaonlineshop,'nissanjakartaonlineshop,'nissanjakartaonlineshop,"'# BEST PROMO NISSAN NEW GRAND LIVINA SPECIAL VERSION 2018 # SV MT OTR 221.800.000  TDP  3.800.000 Angsuran 4.864.000 (60x) ALLRISK SV CVT OTR 233.900.000  TDP  5.700.000 Angsuran 5.129.000 (60x) ALLRISK XV MT OTR 239.700.000  TDP  6.600.000 Angsuran 5.257.000 (60x) ALLRISK XV CVT OTR 251.600.000  TDP  8.500.000 Angsuran 5.515.000 (60x) ALLRISK # HITUNGAN DAPAT DISESUAIKAN DENGAN PERMINTAAN KONSUMEN # # SYARAT KREDIT : KTP, NPWP, KK, PBB, slip gaji, rektab 3 bln terakhir # # DITOLAK LEASING BOOKING FEE KEMBALI 100% # Including Package Purchase ♢ Karpet Standar ♢ Kaca Film Solar Guard ♢ ANTI KARAT ♢ Free service 1rb s/d 50rb KM ♢ Garansi Mesin 3th/100rb KM ♢ Garansi Kelistrikan 1th INGIN PENAWARAN YANG ""LEBIH"" MENARIK ?  INGIN TAU ""DISCOUNT"" NYA ? Spesifikasi, Pemesanan dan Test Drive :  WA : 0817 7668 2190 ☆ Authorized Nissan Dealer #nissanindonesia #nissanid #autonetmagz #autobild #promonissan #salesnissan #kreditnissan #promojakarta #nissanjakartatimur #nissanjakartaselatan #viralindonesia #bengkelnissan #asesorisnissan #jualnissan #mobilbaru #mobilbekas #mobilkamu #promomobilmurah #promokreditmurah #mobilmurahjakarta #mobil123 #mobilmurah #viraljakarta #otosia #modifikasi #diskonnissan #gravinci #nissanjakarta",2,,"[""https://scontent.cdninstagram.com/vp/e0ef5f6e23ad9c32a32a8009fe8a945a/5C7F1414/t51.2885-15/e35/42002911_1243925952416519_6247921448324908605_n.jpg""]",'https://www.instagram.com/p/BpomrPOHX8D/,,,,,,[],0,0,1,0,,,,[],1,,,,,
'1902940813111752924_2203054778,01/11/2018 17:30,'social_media,'instagram,'media,'keyword,'nissanindonesia,'nissanjakartaonlineshop,'nissanjakartaonlineshop,'nissanjakartaonlineshop,"'# BEST PROMO NISSAN NEW GRAND LIVINA SPECIAL VERSION 2018 # SV MT OTR 221.800.000  TDP  3.800.000 Angsuran 4.864.000 (60x) ALLRISK SV CVT OTR 233.900.000  TDP  5.700.000 Angsuran 5.129.000 (60x) ALLRISK XV MT OTR 239.700.000  TDP  6.600.000 Angsuran 5.257.000 (60x) ALLRISK XV CVT OTR 251.600.000  TDP  8.500.000 Angsuran 5.515.000 (60x) ALLRISK # HITUNGAN DAPAT DISESUAIKAN DENGAN PERMINTAAN KONSUMEN # # SYARAT KREDIT : KTP, NPWP, KK, PBB, slip gaji, rektab 3 bln terakhir # # DITOLAK LEASING BOOKING FEE KEMBALI 100% # Including Package Purchase ♢ Karpet Standar ♢ Kaca Film Solar Guard ♢ ANTI KARAT ♢ Free service 1rb s/d 50rb KM ♢ Garansi Mesin 3th/100rb KM ♢ Garansi Kelistrikan 1th INGIN PENAWARAN YANG ""LEBIH"" MENARIK ?  INGIN TAU ""DISCOUNT"" NYA ? Spesifikasi, Pemesanan dan Test Drive :  WA : 0817 7668 2190 ☆ Authorized Nissan Dealer #nissanindonesia #nissanid #autonetmagz #autobild #promonissan #salesnissan #kreditnissan #promojakarta #nissanjakartatimur #nissanjakartaselatan #viralindonesia #bengkelnissan #asesorisnissan #jualnissan #mobilbaru #mobilbekas #mobilkamu #promomobilmurah #promokreditmurah #mobilmurahjakarta #mobil123 #mobilmurah #viraljakarta #otosia #modifikasi #diskonnissan #gravinci #nissanjakarta",2,,"[""https://scontent.cdninstagram.com/vp/86d5e886293f9cb76d31c56bc379e072/5C7549D7/t51.2885-15/e35/43914601_2153053141627007_7259580334684599357_n.jpg""]",'https://www.instagram.com/p/BpompZaHnjc/,,,,,,[],0,0,2,0,,,,[],2,,,,,
